n,delta_r2,post_r2,var,lon_tag,mode,lag
2,0.04889156115809501,0.13186629499143976,so,W60p0,1,1
4,0.03674138026609308,0.16989786417039698,so,W40p0,2,2
5,0.02564855252068865,0.19554641669108563,so,W40p0,2,3
22,0.02398945333580227,0.3645437755402766,thetao,W60p0,3,2
29,0.02349554345785898,0.4231937190400703,thetao,W20p0,5,8
20,0.02268314571676955,0.32282759235393177,thetao,W60p0,3,3
23,0.021084692183219844,0.38562846772349646,thetao,W20p0,5,7
14,0.020939855410111674,0.27325505672421624,so,W30p0,8,1
34,0.020162343203818156,0.47274086292525697,thetao,W40p0,10,0
46,0.018608983735090123,0.5391457729177725,so,W10p0,8,1
21,0.017726729850542577,0.34055432220447435,thetao,W40p0,6,1
55,0.0164216789652033,0.5825584418585714,so,W20p0,7,8
11,0.015809546832697752,0.24298744266697125,so,W40p0,2,1
33,0.014650960445978689,0.4525785197214388,thetao,W40p0,2,14
52,0.014558378818524176,0.5628421781349813,so,W20p0,10,2
7,0.014184512913025249,0.21472070974235424,so,W30p0,8,2
32,0.013924187301919022,0.4379275592754601,thetao,W40p0,1,11
17,0.012372808704124272,0.29208560558275165,thetao,W40p0,6,0
10,0.012075650631899637,0.2271778958342735,so,W40p0,2,4
43,0.011277820373185365,0.5184558551028795,thetao,W40p0,1,12
26,0.010199314428104733,0.39955028798407155,thetao,W20p0,1,2
