alpha,mean_cv_r2,std_cv_r2,n_folds_used
0.01,-5.9858121464001925,6.712146087502842,3
0.03,-5.9867755578814,6.716717870540698,3
0.1,-5.9911311928647715,6.731932310716459,3
0.3,-6.009550349553792,6.770020124399809,3
1.0,-6.10152083026265,6.866892077440702,3
3.0,-6.3884827295860935,7.023181471072516,3
4.0,-6.5251805410246035,7.076344280211426,3
5.0,-6.656866788184735,7.123594869140232,3
10.0,-7.25708302026626,7.341603627115153,3
30.0,-9.066301491258509,8.215082428725836,3
40.0,-9.734012561525082,8.59822726498774,3
50.0,-10.293170581377128,8.936279700475058,3
60.0,-10.767607904270761,9.233727604356547,3
70.0,-11.17486131885749,9.496082851063754,3
100.0,-12.109838477625722,10.120569013397125,3
300.0,-14.459046840273274,11.806136040719343,3
