n,feature,score,curve_r2
1,thetao W40p0 EOF5 lag20,,0.5077842493897018
2,thetao W40p0 EOF5 lag19,,0.5067225229516119
3,thetao W30p0 EOF6 lag19,,0.8055530867834413
4,thetao W30p0 EOF6 lag20,,0.8146754684040478
5,thetao W30p0 EOF6 lag18,,0.8635781609934379
6,thetao W40p0 EOF5 lag18,,0.8673917247597853
7,thetao W30p0 EOF2 lag19,,0.9095120571709436
8,thetao W30p0 EOF2 lag18,,0.9178033569551424
9,thetao W30p0 EOF2 lag17,,0.9281496304645388
10,thetao W30p0 EOF2 lag20,,0.9436311337346096
