alpha,mean_cv_r2,std_cv_r2,n_folds_used
10.0,-1.0003604941325468,0.5495854757724637,3
5.0,-1.1266267221417838,0.4928498033922004,3
4.0,-1.2202660313957412,0.6170409163738164,3
30.0,-1.2838307225934074,1.0285146062210737,3
3.0,-1.3697099678574551,0.8261348917629778,3
40.0,-1.4091010711656906,1.1137771010199242,3
50.0,-1.5072476454281036,1.1698115843648773,3
60.0,-1.5850586747115478,1.2102376699008675,3
70.0,-1.647876004934312,1.241186991844042,3
100.0,-1.7790908341839062,1.3030177136611645,3
300.0,-2.0431150573325905,1.4250819983524405,3
1.0,-2.0467590909274325,1.6365026782255734,3
0.3,-2.611934865746953,2.117946610406806,3
0.1,-2.8973682375007113,2.2431143853214515,3
0.03,-3.0433227528266062,2.2640851763688365,3
0.01,-3.0943340495143308,2.2647506805841187,3
