n,delta_r2,test_r2,var,lon_tag,mode,lag,abs_corr
5,1.9872277935253486,0.014613327032438006,thetao,W10p0,2,4,0.8508880012162358
7,0.18983871589577672,0.3355158445554155,thetao,W10p0,2,2,0.8488878839417187
6,0.13106380162720077,0.14567712865963878,thetao,W10p0,2,3,0.8489047090139044
16,0.1064665891740596,0.5483875619719023,thetao,W10p0,2,1,0.8342883235359912
8,0.08219447268279767,0.41771031723821317,so,W10p0,1,1,0.8464799053956299
25,0.06716293225562198,0.6550912827970967,thetao,W20p0,2,1,0.8096670993722199
13,0.05270918674341618,0.47435512999766105,thetao,W10p0,2,5,0.8428781117721624
