alpha,mean_cv_r2,std_cv_r2,n_folds_used
1.0,0.1415847388122199,0.13484529281113578,2
3.0,0.059449535520674224,0.04213116503695513,2
0.3,0.05208174100820667,0.06560731656193292,2
0.1,-0.08439449816903571,0.24192608702689283,2
10.0,-0.0926430004103233,0.2654003732321267,2
50.0,-0.09286718913564729,0.4842674204224907,2
30.0,-0.09798229376978684,0.44263601674864594,2
100.0,-0.14393161171955138,0.5392521968976108,2
0.03,-0.2027333764596671,0.31036058332868194,2
0.01,-0.2565882123688089,0.3235338979024033,2
300.0,-0.4791037034345291,0.7760076761271382,2
