,W10p0,W20p0,W30p0,W40p0,W60p0
0,3.1561723919502387,2.2667596694039016,2.4385250697073246,2.4568046090866664,2.431413498532062
1,3.129427062095845,2.481435318112924,2.3535588452622473,2.4947775540939556,2.7420425801947785
2,3.136920115851714,2.546578112881805,2.3707094629677794,2.4154105058743314,2.712027729907807
3,3.0812722784651347,2.5818231291500107,2.4354345825092523,2.3624390711346805,2.6632227023479595
4,2.9978381880404887,2.5219641353473756,2.5416300886860705,2.2870785385390295,2.6385666346364074
5,2.941810802283223,2.396707968869673,2.5909413921622075,2.2447328453456383,2.6177926986837177
6,2.9549541592357143,2.2589499928874566,2.5457890030369272,2.2737189993532496,2.5514422162020165
7,3.0278335240486536,2.2452040203980252,2.633857475056105,2.3314461096370946,2.541059649865347
8,2.9489487709901345,2.2972861625186773,2.5827188745045606,2.363395797624606,2.568218582216539
9,2.9548435834758067,2.352228090376512,2.65220826137812,2.3560844707878728,2.4991053488977277
10,2.9886182941499357,2.4458608151525385,2.7788907498640834,2.504261530156483,2.519753537174667
11,2.856791272620364,2.5406109559800383,2.8105790695876642,2.634607670910557,2.597039894611428
12,2.8269135522724067,2.4961927918133613,2.863628394273606,2.684300774158827,2.5340164233875333
13,2.7760290174477715,2.4201570113330977,2.880027744971867,2.767468026868263,2.4703776403201143
14,2.7675249750059745,2.3992570107748143,2.8759544983956644,2.7783776924126835,2.42598238473498
15,2.830963307344466,2.46919422489571,2.942455874147324,2.9551669313627995,2.4843920606243035
16,2.8865329611049857,2.562632049415731,3.037692755127241,2.9596670462343875,2.4259449879508943
17,2.970945703047531,2.635110997252775,2.9786961166281456,2.9865204838330097,2.4551142905751338
18,2.938619620816042,2.6316343474581596,2.834433001108235,2.9901121172767207,2.534562631372237
19,2.862953719117468,2.5746290178501523,2.764334045874752,2.8940471078178858,2.520111411869623
20,2.789067284026438,2.6001269129347913,2.827930865226113,2.9052788549061215,2.465767423285049
21,2.6891145211758603,2.5583030648323213,2.747550896399048,2.7265950338787883,2.568004066752568
22,2.6574275818592845,2.433608758922678,2.659389923943534,2.58997214197813,2.5738370534033304
23,2.6092826465211236,2.4516137355357603,2.617946827903438,2.580226762410996,2.3646461708074904
24,2.5925334251461463,2.464186065198419,2.5671948741484396,2.50304402753485,2.367822253036815
25,2.6196422365927727,2.569449351584761,2.4467770778293163,2.551700067171521,2.35461269560995
26,2.755482587880099,2.5649616478362662,2.3683178746424067,2.5050441276557174,2.4515515396744814
27,2.7117093341742993,2.5412013358471564,2.2662580591258825,2.46412887740563,2.486289887536536
28,2.599167755676515,2.5861244066305815,2.235861372816953,2.3840899326980605,2.5911733506496084
29,2.535388137207487,2.460175766311341,2.1682748000504795,2.3299899753759847,2.6240866261634554
30,2.3765919100753723,2.3463936461968897,2.138656595771115,2.3542454980521157,2.4850609851148104
31,2.305515595263273,2.2439142301446617,2.083830662062451,2.2023334751927086,2.4364972156673157
32,2.2177112890872492,2.105520792865857,2.050938504969044,2.090793560577911,2.3259637999957876
33,2.221318375222239,1.9685136356875708,1.9213907537247557,2.0477531249941947,2.141303124326144
34,2.281899599777863,1.9369164123246791,1.8362853990006112,1.924902032843636,2.0412302716428696
35,2.270007466640885,1.9523450298558502,1.8114843106932705,1.9086298995808755,2.0308452396256707
36,2.1712397909241834,1.900552094242104,1.8670469622104542,1.8632758478591671,2.0980374409518103
37,2.2246027575742797,1.7651420586767057,1.7800341204865857,1.8852640764584123,2.1750667062465903
38,2.383382115689421,1.7419452810719416,1.7002586217713112,1.8933179098620183,2.275866588339199
39,2.404752382836943,1.7259233330545154,1.6668416394523882,1.9448141942487644,2.286857186899491
40,2.4720182130285333,1.7036597076788071,1.7101810541750557,1.9303684909313916,2.187608792132243
41,2.5426705280585935,1.6792028411081463,1.7633175969815131,1.8450660871844646,2.0637486090756347
42,2.519110637623684,1.5969344872886149,1.6879094868667641,1.6696736993817718,2.0058275302792374
43,2.4866715122871517,1.491809392824072,1.7439959589276879,1.5701632192300012,1.8418225804208086
44,2.3938107919379856,1.555470594089827,1.7915336473811971,1.6433313115713826,1.8030317712189128
45,2.484625395092549,1.6653584431368944,1.690581920758619,1.6003444902771837,1.9146887205047247
46,2.366091712832748,1.6731037628960654,1.575172131149074,1.5984259316245022,1.980627574066881
47,2.269223798291966,1.6565163790099748,1.518503560265755,1.7016590115465782,1.996432912511188
48,2.246059617376404,1.6190500634230451,1.5450423570510374,1.5947266425438067,2.159176769191863
49,2.186131628922123,1.5566619311840695,1.5355113619705527,1.6864257359683075,2.1687528360245856
