,thetao_W10p0,thetao_W20p0,thetao_W30p0,thetao_W40p0,thetao_W60p0,so_W10p0,so_W20p0,so_W30p0,so_W40p0,so_W60p0
0,1.7440269510445738,1.1632198369289148,1.0961753344211238,1.2657771867554224,1.4438789145878819,1.4121454409056649,1.103539832474987,1.3423497352862008,1.1910274223312443,0.9875345839441798
1,1.763611435477093,1.2690137167169198,1.1363679264781177,1.2408624856186738,1.512459270707764,1.365815626618752,1.2124216013960039,1.2171909187841294,1.253915068475282,1.2295833094870146
2,1.7415419468669615,1.30947649178786,1.1491160367279385,1.2077093666656236,1.4230294969046597,1.3953781689847524,1.237101621093945,1.221593426239841,1.2077011392087078,1.2889982330031475
3,1.6892702967571092,1.3394556463836529,1.1480139236701008,1.2005623112526087,1.3977552797497688,1.3920019817080254,1.2423674827663578,1.2874206588391517,1.161876759882072,1.2654674225981908
4,1.6538522890450769,1.3132603556494895,1.2090947977963047,1.159135109652887,1.4170963007275847,1.343985898995412,1.208703779697886,1.3325352908897656,1.1279434288861425,1.2214703339088229
5,1.6251724965541343,1.2177032884299543,1.265161470147189,1.184891599139771,1.4249109634813777,1.3166383057290885,1.1790046804397187,1.3257799220150184,1.0598412462058673,1.1928817352023398
6,1.6130551107262505,1.102345093219449,1.271228298605839,1.2537222402648884,1.4019612441888203,1.341899048509464,1.1566048996680076,1.2745607044310885,1.019996759088361,1.1494809720131962
7,1.593653474494097,1.133857895070274,1.2709356700783676,1.3135960614630737,1.376439445320755,1.4341800495545565,1.1113461253277512,1.3629218049777374,1.0178500481740207,1.1646202045445924
8,1.5787565982734317,1.1998812257374674,1.3245792956169105,1.3282828684813457,1.331901613813409,1.370192172716703,1.09740493678121,1.2581395788876502,1.0351129291432601,1.23631696840313
9,1.5354206550118694,1.244564106017175,1.4480908720401764,1.356532241805312,1.259821422885304,1.419422928463937,1.1076639843593366,1.2041173893379435,0.9995522289825609,1.239283926012424
10,1.510773102006941,1.2981628097030875,1.5191225498813257,1.4411329807310256,1.2360904916664326,1.4778451921429947,1.147698005449451,1.2597681999827577,1.0631285494254572,1.2836630455082343
11,1.4684699512048969,1.334509896099993,1.5207754160484337,1.4889844692237526,1.3060044782161393,1.388321321415467,1.206101059880045,1.2898036535392303,1.1456232016868042,1.2910354163952888
12,1.444947822891792,1.2954760749179401,1.5374717307754477,1.5267322888457204,1.3079483091439612,1.381965729380615,1.2007167168954214,1.326156663498158,1.1575684853131065,1.2260681142435719
13,1.431281511965575,1.2408203031877805,1.5286649115609956,1.5702845769696994,1.2916048044359407,1.3447475054821967,1.179336708145317,1.3513628334108714,1.1971834498985638,1.1787728358841734
14,1.4273830972187378,1.198154950314375,1.5333677110494666,1.594227614704566,1.332005833982518,1.3401418777872367,1.2011020604604392,1.342586787346198,1.1841500777081175,1.0939765507524624
15,1.4846794005713975,1.2581818719645717,1.5931782827860754,1.6675168008503352,1.357851093730809,1.3462839067730683,1.211012352931138,1.3492775913612487,1.2876501305124641,1.1265409668934945
16,1.5169766143870218,1.3162536895788908,1.6491883557141502,1.6797833892227636,1.3122659547210302,1.369556346717964,1.2463783598368399,1.3885043994130908,1.2798836570116237,1.113679033229864
17,1.547592813136431,1.3412100763363881,1.6554857673074779,1.6632945973666031,1.3265831117705782,1.4233528899111,1.293900920916387,1.3232103493206675,1.3232258864664068,1.1285311788045553
18,1.5615202054949937,1.327524301861677,1.638219701057172,1.6739194703937155,1.329297761729694,1.3770994153210485,1.3041100455964827,1.1962133000510629,1.316192646883005,1.205264869642543
19,1.5388023428193338,1.3041592193604639,1.567886569736479,1.65680796293646,1.2556418378011023,1.324151376298134,1.2704697984896887,1.196447476138273,1.2372391448814257,1.2644695740685203
20,1.5292979930676547,1.3463990380139021,1.6228126273469763,1.630324597198631,1.281630124023399,1.2597692909587836,1.2537278749208893,1.2051182378791365,1.2749542577074904,1.18413729926165
21,1.5234833018863094,1.3055312435812747,1.6499451169834252,1.5714003310127336,1.3163397500512555,1.1656312192895508,1.2527718212510468,1.0976057794156229,1.1551947028660545,1.2516643167013128
22,1.538108656323694,1.26786968138771,1.6124683988958444,1.534498568528588,1.3155620858320871,1.1193189255355904,1.165739077534968,1.04692152504769,1.0554735734495424,1.2582749675712432
23,1.5305294888454637,1.267566765748486,1.5804529368673732,1.5406171996042013,1.149014348610769,1.07875315767566,1.1840469697872742,1.037493891036065,1.0396095628067945,1.2156318221967213
24,1.5091358127885666,1.2696274171820658,1.5670572180609366,1.526547862468787,1.0776758725866893,1.08339761235758,1.1945586480163528,1.000137656087503,0.9764961650660633,1.2901463804501254
25,1.5016734717103626,1.3000634532471598,1.4923954942860358,1.522607647073116,1.0507927469857505,1.1179687648824101,1.2693858983376014,0.9543815835432807,1.0290924200984053,1.3038199486241995
26,1.511497471850683,1.3007608513266724,1.4316313078648726,1.5142239011030718,1.0837577606325732,1.2439851160294157,1.2642007965095938,0.936686566777534,0.9908202265526456,1.367793779041908
