model,target,var,lon,varlon,rank,lag,score,best_mode,best_mode_abs_corr
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W40p0,so_W40p0,5,20,1.2749542577074904,8,0.49879290284074296
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W40p0,so_W40p0,6,1,1.253915068475282,1,0.42850697630727336
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W40p0,so_W40p0,7,19,1.2372391448814257,8,0.4787613186882577
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W40p0,so_W40p0,8,2,1.2077011392087078,6,0.411191624445766
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W40p0,so_W40p0,9,13,1.1971834498985638,8,0.5822758915421654
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W40p0,so_W40p0,10,0,1.1910274223312443,3,0.4303170348404631
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W40p0,so_W40p0,11,14,1.1841500777081175,8,0.5263203089775778
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W40p0,so_W40p0,12,3,1.161876759882072,8,0.4041857102019261
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W40p0,so_W40p0,13,12,1.1575684853131065,8,0.5473959736569883
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W40p0,so_W40p0,14,21,1.1551947028660545,8,0.4660986798693457
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W40p0,so_W40p0,15,11,1.1456232016868042,8,0.4838188750042062
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,so_W60p0,1,29,1.479567397799872,7,0.5756762068808635
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,so_W60p0,2,28,1.4544883701236415,7,0.5657086896833724
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,so_W60p0,3,27,1.396126115135175,4,0.4792465280130054
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,so_W60p0,4,26,1.367793779041908,9,0.4841457686400825
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,so_W60p0,5,30,1.3671839738375744,7,0.500867017805613
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,so_W60p0,6,31,1.3612564954412814,9,0.47880855277642764
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,so_W60p0,7,25,1.3038199486241995,7,0.4949649117752822
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,so_W60p0,8,32,1.3011236160253787,7,0.4923188034825364
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,so_W60p0,9,11,1.2910354163952888,1,0.6377529456538964
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,so_W60p0,10,24,1.2901463804501254,7,0.5095877897174734
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,so_W60p0,11,2,1.2889982330031475,1,0.5813722658456983
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,so_W60p0,12,10,1.2836630455082343,1,0.6493610779436513
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,so_W60p0,13,3,1.2654674225981908,1,0.5836071963302266
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,so_W60p0,14,19,1.2644695740685203,9,0.43987932880782826
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,so_W60p0,15,22,1.2582749675712432,7,0.46205389873849456
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,thetao_W10p0,1,1,1.763611435477093,9,0.6490692536254554
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,thetao_W10p0,2,0,1.7440269510445738,9,0.64138530271297
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,thetao_W10p0,3,2,1.7415419468669615,9,0.6418971979193385
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,thetao_W10p0,4,3,1.6892702967571092,9,0.6218610428388172
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,thetao_W10p0,5,4,1.6538522890450769,9,0.5887250612483853
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,thetao_W10p0,6,5,1.6251724965541343,3,0.5639000185248944
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,thetao_W10p0,7,6,1.6130551107262505,3,0.5724159846442927
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,thetao_W10p0,8,42,1.6128084676289647,9,0.6066601743010639
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,thetao_W10p0,9,43,1.5941831446948205,9,0.6182363463100924
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,thetao_W10p0,10,7,1.593653474494097,3,0.5848004764524717
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,thetao_W10p0,11,8,1.5787565982734317,3,0.5843202492402084
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,thetao_W10p0,12,45,1.569264937385373,9,0.6543666929055043
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,thetao_W10p0,13,18,1.5615202054949937,2,0.5774708969346042
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,thetao_W10p0,14,41,1.5561300529793471,9,0.573441151546954
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,thetao_W10p0,15,17,1.547592813136431,2,0.5891938295359884
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W20p0,thetao_W20p0,1,20,1.3463990380139021,5,0.6148368764531045
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W20p0,thetao_W20p0,2,17,1.3412100763363881,5,0.6269398803662605
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W20p0,thetao_W20p0,3,3,1.3394556463836529,5,0.48432815471286794
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W20p0,thetao_W20p0,4,11,1.334509896099993,5,0.6045311242182387
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W20p0,thetao_W20p0,5,18,1.327524301861677,5,0.6215894955110051
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W20p0,thetao_W20p0,6,16,1.3162536895788908,5,0.6315452340981529
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W20p0,thetao_W20p0,7,4,1.3132603556494895,5,0.5081168735163625
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W20p0,thetao_W20p0,8,2,1.30947649178786,5,0.4572226023419632
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W20p0,thetao_W20p0,9,21,1.3055312435812747,5,0.589819880150784
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W20p0,thetao_W20p0,10,19,1.3041592193604639,5,0.6150585908245226
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W20p0,thetao_W20p0,11,26,1.3007608513266724,5,0.4901781195519673
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W20p0,thetao_W20p0,12,25,1.3000634532471598,5,0.49135335763668625
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W20p0,thetao_W20p0,13,10,1.2981628097030875,5,0.5879762813016989
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W20p0,thetao_W20p0,14,12,1.2954760749179401,5,0.6053700181106888
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W20p0,thetao_W20p0,15,28,1.290799813486072,10,0.48611844735757054
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,thetao_W30p0,1,17,1.6554857673074779,9,0.6741324486330246
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,thetao_W30p0,2,21,1.6499451169834252,7,0.5870522361069408
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,thetao_W30p0,3,16,1.6491883557141502,9,0.693009696886527
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,thetao_W30p0,4,18,1.638219701057172,9,0.6254110365244125
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,thetao_W30p0,5,20,1.6228126273469763,9,0.5986861935784223
