Top curve-selected candidate steps (mapped to ranked features)
MODEL=IPSL-CM6A-LR  TARGET=AMOC_45N_member  MODE=member  RUN=r24i1p1f1
curve_file=/data/users/frekle/Final_figures/IPSL-CM6A-LR/AMOC_45N_member/Feature_selection/r24i1p1f1/spike_curve_post.csv
candidate_method=all  topK=10  score_col=None

n=  1  curve_r2=0.0330  feature=thetao W40p0 EOF3 lag0
n=  2  curve_r2=0.0469  feature=thetao W20p0 EOF1 lag4
n=  3  curve_r2=0.0607  feature=thetao W20p0 EOF1 lag5
n=  4  curve_r2=0.0650  feature=so W60p0 EOF1 lag1
n=  5  curve_r2=0.0766  feature=so W10p0 EOF4 lag2
n=  6  curve_r2=0.0804  feature=thetao W20p0 EOF1 lag3
n=  7  curve_r2=0.0851  feature=so W60p0 EOF1 lag2
n=  8  curve_r2=0.0852  feature=so W10p0 EOF4 lag1
n=  9  curve_r2=0.1355  feature=thetao W30p0 EOF4 lag0
n= 10  curve_r2=0.1421  feature=so W10p0 EOF4 lag3
