n,delta_r2,post_r2,var,lon_tag,mode,lag
7,0.05787480336904749,0.08300525659641955,thetao,W30p0,9,1
28,0.05036316418422537,0.40601491577217275,so,W60p0,1,0
9,0.049147689615748225,0.14663477728172924,thetao,W30p0,9,2
25,0.03392668192534776,0.3319638015246139,thetao,W30p0,9,0
14,0.031606930242223386,0.2242166820206617,thetao,W30p0,9,4
21,0.028571934571710256,0.2904312856827954,so,W40p0,7,0
32,0.028030120995533703,0.44844625943966043,so,W10p0,2,1
40,0.027849546644808987,0.5453283076386828,so,W40p0,5,1
12,0.026302506934197334,0.1830625015188968,thetao,W10p0,2,7
27,0.0235699647147527,0.3556517515879474,thetao,W10p0,2,8
20,0.022410132395887183,0.26185935111108516,thetao,W30p0,9,3
38,0.021678351102355276,0.5167045943269096,thetao,W20p0,3,2
55,0.020395476938057433,0.6231546982420026,so,W10p0,8,0
37,0.020320124824192876,0.49502624322455435,thetao,W10p0,2,9
49,0.01857123155210083,0.5980831392032436,thetao,W20p0,5,4
46,0.01473302207751015,0.578636558510321,thetao,W10p0,2,10
36,0.014701283744829041,0.4747061184003615,so,W60p0,6,0
8,0.014481831069561468,0.09748708766598102,so,W40p0,2,2
57,0.011973758837096948,0.6383451594738063,so,W10p0,2,0
6,0.011933695414621859,0.025130453227372063,thetao,W10p0,2,6
