n,delta_r2,post_r2,var,lon_tag,mode,lag
3,0.32187879205332637,0.5272154040012749,thetao,W60p0,1,0
6,0.131893979354903,0.680330444084708,thetao,W40p0,2,4
2,0.10225921228017953,0.2053366119479485,thetao,W20p0,2,6
27,0.051963693749330075,0.8720599979171981,so,W10p0,1,4
32,0.048540204699514256,0.9293514852338585,so,W10p0,1,3
9,0.03613340962421485,0.752637200316666,so,W20p0,1,0
8,0.03497075832582275,0.7165037906924512,so,W20p0,1,2
5,0.023589815847612883,0.548436464729805,so,W30p0,1,4
22,0.022912885718764153,0.8088186850217111,so,W10p0,1,5
14,0.010479228163500443,0.769504044638953,so,W30p0,1,2
