n,delta_r2,post_r2,var,mode,lag
2,0.08678477355209757,0.8838698620166937,so,3,2
10,0.035592190740512675,0.9284242261269086,thetao,3,5
24,0.01902483993536519,0.9767576244768026,so,7,19
16,0.0134948626619662,0.9529961199161288,thetao,3,3
12,0.010153068440836743,0.9377521620001766,thetao,3,4
