n,feature,score,curve_r2
1,so EOF3 lag1,,0.7970850884645961
2,so EOF3 lag2,,0.8838698620166937
3,thetao EOF3 lag10,,0.880502918065984
4,so EOF3 lag0,,0.888172807445952
5,thetao EOF3 lag11,,0.8876745627127736
6,thetao EOF3 lag8,,0.8891203360996646
7,thetao EOF3 lag9,,0.8886629853873531
8,thetao EOF3 lag7,,0.8929149034215869
9,thetao EOF3 lag12,,0.8928320353863959
10,thetao EOF3 lag5,,0.9284242261269086
