k,r2_train,corr_train,r2_test,corr_test,subset_idx,subset_features,candidate_source,candidate_method,selected_by,amoc_variant,amoc_var_used,run_label
1,0.3569482612845839,0.5974664981641328,-2.3806794915102456,0.22859630674647988,1,so W10p0 EOF1 lag5,spike_curve_post.csv,all,train,normal,AMOC_45N_member,r8i1p1f1
2,0.5088308475365435,0.713347399790098,-2.214009970231279,0.6506796328913035,"33,51",so W60p0 EOF1 lag18 | thetao W60p0 EOF2 lag15,spike_curve_post.csv,all,train,normal,AMOC_45N_member,r8i1p1f1
3,0.5686130691998303,0.7540778422987323,-2.9061129002848762,0.5326610312243988,"26,33,51",thetao W30p0 EOF2 lag1 | so W60p0 EOF1 lag18 | thetao W60p0 EOF2 lag15,spike_curve_post.csv,all,train,normal,AMOC_45N_member,r8i1p1f1
