n,feature,score,curve_r2
1,so W60p0 EOF5 lag0,,0.0256173307525826
2,so W60p0 EOF5 lag1,,0.0256500075181046
3,thetao W60p0 EOF4 lag0,,0.0343021409197873
4,so W20p0 EOF1 lag0,,0.2925856666555383
5,thetao W40p0 EOF2 lag0,,0.5683658306501873
6,thetao W20p0 EOF2 lag1,,0.6332500905305375
7,so W10p0 EOF1 lag0,,0.6336952849210922
8,thetao W20p0 EOF2 lag4,,0.6338593663413792
9,thetao W20p0 EOF2 lag0,,0.6825411755053914
10,so W10p0 EOF1 lag1,,0.6977152957263455
