alpha,mean_cv_r2,std_cv_r2,n_folds_used
300.0,-1.5043943869692444,2.0920820426846,3
100.0,-1.7002540439568323,2.4710409088314726,3
70.0,-1.824157531962105,2.6874659260622296,3
60.0,-1.891788147622363,2.800663542333286,3
50.0,-1.9848630088589339,2.95205290440282,3
40.0,-2.1208672416210628,3.1660532952158746,3
30.0,-2.338240757291341,3.4952261358636734,3
10.0,-3.799997395692414,5.553321674929219,3
5.0,-5.604091410986245,8.03562070860794,3
4.0,-6.438955395082517,9.190295802587325,3
3.0,-7.777256834087123,11.049766080465963,3
1.0,-16.976128212842436,23.9567160063807,3
0.3,-35.14746999989237,49.59152617081245,3
0.1,-50.84771247342281,71.7668403477139,3
0.03,-59.97705418353076,84.66529638706642,3
0.01,-63.16971291710962,89.1765167975337,3
