n,delta_r2,post_r2,var,lon_tag,mode,lag
9,0.029415842165555484,0.09969981607489597,thetao,W20p0,2,12
41,0.02924233492069428,0.26440812413086423,so,W40p0,1,15
2,0.02777838255450238,0.02939884688718175,thetao,W40p0,3,0
52,0.027323686045270357,0.32283378030475085,thetao,W40p0,1,15
24,0.01919852435647862,0.17949274088026834,thetao,W30p0,1,11
58,0.01693062957729674,0.34474092091353725,thetao,W40p0,1,14
12,0.01636431821832751,0.13117982945493067,thetao,W30p0,1,9
11,0.014978967070827354,0.11481551123660316,so,W30p0,1,9
4,0.013580895986209263,0.04977496653927371,so,W30p0,1,8
33,0.01343335700628645,0.22778229951294016,so,W30p0,1,15
29,0.012659405977515914,0.20805247138901428,so,W30p0,1,2
43,0.01166836788560266,0.27624108932839775,so,W30p0,1,11
18,0.011434302259006768,0.15362246170548943,thetao,W30p0,1,8
7,0.011397782750401375,0.06668073285840559,thetao,W20p0,2,11
