var,lon,mode,mode0,lag,member
thetao,W30p0,1,0,10,28
thetao,W60p0,2,1,0,28
thetao,W60p0,2,1,1,28
thetao,W60p0,2,1,2,28
so,W60p0,2,1,0,29
thetao,W10p0,2,1,0,29
thetao,W30p0,5,4,0,29
thetao,W40p0,4,3,0,29
thetao,W60p0,2,1,0,29
thetao,W10p0,2,1,3,30
thetao,W10p0,2,1,4,30
thetao,W10p0,2,1,5,30
thetao,W20p0,2,1,0,30
thetao,W20p0,2,1,1,30
thetao,W30p0,5,4,0,30
thetao,W30p0,5,4,1,30
thetao,W40p0,4,3,0,30
thetao,W40p0,4,3,1,30
thetao,W60p0,2,1,0,30
thetao,W60p0,2,1,1,30
so,W40p0,1,0,0,31
so,W60p0,1,0,0,31
thetao,W20p0,1,0,2,31
thetao,W20p0,1,0,3,31
thetao,W40p0,3,2,0,31
so,W30p0,2,1,5,32
thetao,W10p0,2,1,3,32
thetao,W10p0,2,1,4,32
thetao,W10p0,2,1,6,32
thetao,W20p0,2,1,0,32
thetao,W20p0,2,1,6,32
thetao,W20p0,2,1,7,32
thetao,W20p0,2,1,10,32
thetao,W40p0,3,2,0,32
thetao,W60p0,2,1,0,32
thetao,W60p0,2,1,1,32
thetao,W60p0,2,1,2,32
thetao,W60p0,2,1,3,32
thetao,W60p0,2,1,4,32
thetao,W60p0,2,1,5,32
