member,bucket,test_r2_anom,test_corr_anom,test_var_ratio_anom,late_r2_anom,late_corr_anom,late_var_ratio_anom,corr_drop_anom,varratio_change_anom,best_N,best_W,best_alpha,max_lag_used,n_features_used
31,breakdown_late,0.4468469340688217,0.6785460692818418,0.7950700327786969,-0.0660841939631704,0.3045609421412131,0.7031102633564348,0.3739851271406287,-0.09195976942226214,5,0,300.0,23,5
2,breakdown_late,0.3442410787025725,0.6022747405399809,0.4662828864091957,-1.282982715646528,-0.2715457528676777,0.8932374078738403,0.8738204934076585,0.42695452146464463,5,0,1000.0,18,5
24,breakdown_late,0.2203461424573932,0.4831763975505407,0.3686631289196751,-0.0819962754221022,0.1239480158862485,0.4359726720662367,0.3592283816642922,0.06730954314656157,15,0,3.0,17,15
14,breakdown_late,0.2059648531076571,0.4873549815968602,0.3097317145972386,-1.364134980775643,-0.3346775950816053,0.8802891013447827,0.8220325766784655,0.5705573867475441,5,1,30.0,5,8
10,breakdown_late,0.1894024392757629,0.4364224734301987,0.4690129020737358,-0.1016647335914309,0.3412930291182448,0.8083536946812294,0.09512944431195391,0.3393407926074936,5,0,100.0,24,5
30,breakdown_late,0.1691840004196417,0.4126624154742666,0.4459230337098674,-0.7432632008361331,-0.3558856185504299,0.5768082081296632,0.7685480340246964,0.13088517441979575,5,1,100.0,15,12
12,late_only,-0.0980111924056346,0.0903873824032302,0.4162417537155427,0.3409927257996924,0.5987847222924598,0.4663067322293339,-0.5083973398892296,0.050064978513791214,5,0,300.0,7,5
16,late_only,-0.1069514515280984,0.4342704436281963,0.9779084387473098,0.5059350224961472,0.7545209926629882,0.5027931517851978,-0.32025054903479194,-0.475115286962112,5,0,300.0,3,5
4,late_only,-0.1918550520643007,0.0673129044310376,0.5104675943162317,0.1779865681202264,0.4219457465387525,0.4291321852895349,-0.3546328421077149,-0.08133540902669678,10,0,100.0,8,10
32,late_only,-0.7827770609648041,-0.7397440228187658,0.413511491046611,0.2219371633325625,0.4720716596438872,0.4418311486301637,-1.2118156824626531,0.028319657583552704,5,1,100.0,21,9
28,late_only,-0.958674602700872,-0.6234447338480512,0.5373127511003509,0.2276764885898405,0.4787740777598001,0.5181203475309825,-1.1022188116078513,-0.019192403569368466,5,0,1000.0,22,5
11,no_skill,-0.0381629450026659,0.0043692959929226,0.1997715368965001,-0.6251534448679943,-0.1650170838752119,0.642685883086451,0.1693863798681345,0.44291434618995096,5,0,10.0,25,5
22,no_skill,-0.5577072279143922,0.0661374856947244,0.8158583637076099,-0.0906252912004599,0.1992935266970926,0.5603242746726974,-0.13315604100236822,-0.2555340890349125,10,0,3.0,3,10
17,other,0.3373966778094263,0.6599734382912547,0.3466552909704294,0.0521623843361364,0.5760010438494676,1.1047872181955258,0.08397239444178706,0.7581319272250964,5,0,100.0,2,5
