n,delta_r2,post_r2,var,lon_tag,mode,lag
2,0.17166467289581144,0.41529970857614973,so,W60p0,1,0
3,0.07383564187113933,0.48913535044728906,so,W60p0,1,1
5,0.050931549065854065,0.5368686672884425,so,W40p0,2,2
6,0.04464363622639633,0.5815123035148388,so,W30p0,2,0
16,0.039912219915877234,0.6731706277147076,so,W40p0,2,5
25,0.014567378701281553,0.7079193644175887,so,W60p0,1,6
42,0.014097581733265807,0.7878064950493014,thetao,W10p0,8,2
12,0.013661473898392118,0.6115762056431799,so,W40p0,2,0
8,0.012237023108124578,0.5935030212077538,so,W40p0,2,1
26,0.01163476577221445,0.7195541301898032,so,W40p0,2,6
29,0.011063693857972567,0.7361662835219165,so,W20p0,2,9
23,0.010354547192538699,0.6930080795909145,thetao,W10p0,5,0
