n,delta_r2,post_r2,var,lon_tag,mode,lag
3,0.22619149723908671,0.4317028281941966,so,W10p0,2,1
4,0.13597177498912305,0.5676746031833196,so,W40p0,2,19
2,0.0647684870370322,0.20551133095510987,so,W60p0,1,1
5,0.06294491193589369,0.6306195151192133,so,W40p0,2,18
32,0.03150784256747419,0.8503125453737547,thetao,W20p0,1,2
10,0.024623898089061735,0.6907559463132178,thetao,W20p0,1,19
11,0.02432205923359887,0.7150780055468167,so,W40p0,2,20
33,0.02322748959084564,0.8735400349646003,so,W40p0,5,1
36,0.02105569190887091,0.8950296252676891,thetao,W20p0,1,1
16,0.02015629824621934,0.7390899826709827,so,W40p0,2,2
7,0.019901281464473675,0.6524713526962238,thetao,W40p0,6,2
17,0.019552902664047633,0.7586428853350303,thetao,W40p0,6,1
19,0.017604503974981256,0.7810118650288578,thetao,W40p0,6,3
23,0.01556882253937486,0.8045147150965026,so,W60p0,1,2
9,0.015061974202134398,0.6661320482241561,so,W40p0,2,17
39,0.011942927568485362,0.9088904303469003,so,W40p0,5,2
43,0.010447811812165586,0.9235926323353696,thetao,W20p0,2,13
