var,lon_tag,mode,lag,corr,abs_corr
so,W60p0,1,0,0.7029476009281844,0.7029476009281844
so,W60p0,1,1,0.688331171451236,0.688331171451236
so,W10p0,2,1,-0.6761048172551506,0.6761048172551506
so,W40p0,2,19,0.6511048782129175,0.6511048782129175
so,W40p0,2,18,0.6419054288978673,0.6419054288978673
thetao,W10p0,1,16,-0.6386494940555869,0.6386494940555869
thetao,W40p0,6,2,0.6347844103270693,0.6347844103270693
so,W10p0,2,0,-0.6334304792539169,0.6334304792539169
so,W40p0,2,17,0.6323966152802486,0.6323966152802486
thetao,W20p0,1,19,-0.6321331368566439,0.6321331368566439
so,W40p0,2,20,0.628906898613663,0.628906898613663
so,W10p0,2,2,-0.6277014706929387,0.6277014706929387
thetao,W10p0,1,17,-0.6253750840068194,0.6253750840068194
so,W40p0,2,3,-0.6123060119283386,0.6123060119283386
thetao,W20p0,1,20,-0.6083946888348288,0.6083946888348288
so,W40p0,2,2,-0.6031997457555586,0.6031997457555586
thetao,W40p0,6,1,0.6031482813331245,0.6031482813331245
thetao,W20p0,1,18,-0.5961082120917838,0.5961082120917838
thetao,W40p0,6,3,0.5875834541461123,0.5875834541461123
thetao,W60p0,1,12,0.5770286485781084,0.5770286485781084
so,W40p0,2,4,-0.5723838213495461,0.5723838213495461
thetao,W10p0,1,18,-0.5627665676940008,0.5627665676940008
so,W60p0,1,2,0.5572421859761244,0.5572421859761244
so,W60p0,2,12,0.5560751725428397,0.5560751725428397
so,W60p0,2,11,0.5543176337441199,0.5543176337441199
thetao,W10p0,1,15,-0.5537565602873312,0.5537565602873312
thetao,W20p0,1,17,-0.5440329971151187,0.5440329971151187
thetao,W60p0,1,13,0.5387570809679644,0.5387570809679644
so,W30p0,1,12,0.5378742115743188,0.5378742115743188
thetao,W60p0,1,11,0.5353685535424352,0.5353685535424352
so,W10p0,2,3,-0.5352269200565577,0.5352269200565577
thetao,W20p0,1,2,0.5305234508505924,0.5305234508505924
so,W40p0,5,1,-0.530439724215567,0.530439724215567
so,W30p0,1,13,0.5292152934007474,0.5292152934007474
so,W40p0,2,16,0.5288405063741753,0.5288405063741753
thetao,W20p0,1,1,0.5288070886986553,0.5288070886986553
thetao,W40p0,6,4,0.5258074125308252,0.5258074125308252
thetao,W40p0,6,0,0.5223131670280247,0.5223131670280247
so,W40p0,5,2,-0.5194728958173374,0.5194728958173374
so,W30p0,1,14,0.5191043690250108,0.5191043690250108
so,W40p0,2,1,-0.5187419748522732,0.5187419748522732
so,W20p0,6,4,0.5173764179512764,0.5173764179512764
thetao,W20p0,2,13,-0.515479978806915,0.515479978806915
thetao,W40p0,6,16,-0.5149020660942475,0.5149020660942475
so,W10p0,2,17,0.5122803330026214,0.5122803330026214
thetao,W40p0,6,17,-0.5119366896201452,0.5119366896201452
so,W30p0,1,15,0.5112522083099775,0.5112522083099775
so,W60p0,2,10,0.5106972377813087,0.5106972377813087
so,W30p0,1,11,0.5105170854828365,0.5105170854828365
thetao,W20p0,2,14,-0.5099161533332254,0.5099161533332254
thetao,W20p0,2,12,-0.5092436315292233,0.5092436315292233
so,W60p0,1,20,-0.5089610350775209,0.5089610350775209
thetao,W20p0,1,0,0.5068768464160148,0.5068768464160148
so,W10p0,2,16,0.49910296666804366,0.49910296666804366
thetao,W20p0,1,16,-0.49725135057224906,0.49725135057224906
so,W30p0,5,4,0.493175563782351,0.493175563782351
so,W30p0,1,16,0.49018623951531254,0.49018623951531254
thetao,W10p0,1,19,-0.4889237005560356,0.4889237005560356
thetao,W60p0,1,10,0.48826715238718255,0.48826715238718255
so,W60p0,2,13,0.48609434044872024,0.48609434044872024
thetao,W20p0,2,15,-0.48540611130040673,0.48540611130040673
so,W60p0,1,19,-0.48484247896575533,0.48484247896575533
thetao,W20p0,1,3,0.4838769722814559,0.4838769722814559
thetao,W60p0,1,14,0.4835832536015638,0.4835832536015638
so,W20p0,6,3,0.48201096586003706,0.48201096586003706
so,W20p0,3,20,-0.47723754958780207,0.47723754958780207
thetao,W60p0,10,0,-0.47575911277323263,0.47575911277323263
thetao,W30p0,1,11,-0.4753526767918098,0.4753526767918098
so,W40p0,2,5,-0.4751016259221576,0.4751016259221576
so,W20p0,3,19,-0.47386418904016675,0.47386418904016675
so,W40p0,5,0,-0.4736920846370366,0.4736920846370366
so,W30p0,1,17,0.4717197715063572,0.4717197715063572
so,W10p0,2,18,0.471099449218301,0.471099449218301
thetao,W40p0,9,0,0.4710135322401083,0.4710135322401083
so,W30p0,1,10,0.470587776860214,0.470587776860214
thetao,W10p0,1,1,0.4704533355868582,0.4704533355868582
thetao,W10p0,1,14,-0.46804470614852134,0.46804470614852134
so,W30p0,5,5,0.46594414368227965,0.46594414368227965
thetao,W30p0,1,12,-0.4658669775683501,0.4658669775683501
so,W20p0,6,5,0.46474641686967844,0.46474641686967844
thetao,W60p0,6,9,-0.4639922562029146,0.4639922562029146
thetao,W30p0,1,10,-0.46330279089723464,0.46330279089723464
thetao,W60p0,6,10,-0.45793719010539663,0.45793719010539663
thetao,W30p0,1,9,-0.45347256236182565,0.45347256236182565
so,W60p0,2,9,0.452034425508761,0.452034425508761
thetao,W10p0,1,0,0.4497070059428007,0.4497070059428007
so,W60p0,1,18,-0.44950142443058755,0.44950142443058755
thetao,W40p0,3,18,0.4485023608664088,0.4485023608664088
thetao,W40p0,2,11,-0.44844953325133663,0.44844953325133663
thetao,W10p0,1,2,0.4482146800121719,0.4482146800121719
thetao,W20p0,1,4,0.4481298007696322,0.4481298007696322
so,W30p0,5,19,-0.4465132170159297,0.4465132170159297
thetao,W60p0,1,9,0.44599778407345425,0.44599778407345425
thetao,W20p0,2,11,-0.4444647318550934,0.4444647318550934
so,W30p0,5,20,-0.44291805392011696,0.44291805392011696
so,W10p0,2,4,-0.44038826952891996,0.44038826952891996
thetao,W40p0,10,12,-0.43763439912615887,0.43763439912615887
thetao,W40p0,6,18,-0.4374472051124045,0.4374472051124045
thetao,W30p0,1,4,-0.4355596143978698,0.4355596143978698
so,W20p0,6,19,-0.43374110536601435,0.43374110536601435
thetao,W30p0,1,3,-0.432459619571447,0.432459619571447
thetao,W40p0,6,5,0.43078198632414266,0.43078198632414266
so,W30p0,5,6,0.4295539402366176,0.4295539402366176
so,W30p0,5,7,0.4293318841212188,0.4293318841212188
thetao,W40p0,6,19,-0.42898882765974145,0.42898882765974145
so,W60p0,2,14,0.428205984283078,0.428205984283078
thetao,W40p0,2,10,-0.42808134953787774,0.42808134953787774
so,W30p0,5,3,0.4280173918290367,0.4280173918290367
so,W10p0,2,15,0.42801602382517606,0.42801602382517606
so,W20p0,2,16,-0.42672071894909225,0.42672071894909225
so,W20p0,1,11,-0.4250851503403416,0.4250851503403416
thetao,W20p0,1,15,-0.42464562334654016,0.42464562334654016
thetao,W30p0,1,5,-0.4242182168512872,0.4242182168512872
thetao,W30p0,1,8,-0.424000798635794,0.424000798635794
thetao,W40p0,3,17,0.42391576011255644,0.42391576011255644
so,W10p0,2,19,0.4216879200344683,0.4216879200344683
thetao,W60p0,2,19,-0.4200963232398855,0.4200963232398855
thetao,W60p0,6,8,-0.4198853377436586,0.4198853377436586
so,W10p0,1,9,-0.41968029267625356,0.41968029267625356
so,W30p0,5,9,0.41895078783439377,0.41895078783439377
so,W20p0,2,17,-0.4188736295208488,0.4188736295208488
so,W20p0,3,18,-0.4181264740001734,0.4181264740001734
so,W30p0,5,8,0.41804984277667745,0.41804984277667745
so,W20p0,1,12,-0.4169514803332464,0.4169514803332464
thetao,W30p0,1,6,-0.4164372719648737,0.4164372719648737
so,W10p0,1,8,-0.4152601251013037,0.4152601251013037
so,W40p0,5,3,-0.4132702680838223,0.4132702680838223
thetao,W40p0,6,15,-0.41298136958291815,0.41298136958291815
thetao,W10p0,1,20,-0.41203762574338204,0.41203762574338204
thetao,W10p0,6,3,-0.4111961947126842,0.4111961947126842
so,W20p0,1,13,-0.41009755232560213,0.41009755232560213
so,W30p0,1,9,0.4096381392513071,0.4096381392513071
so,W20p0,6,18,-0.40867658550321745,0.40867658550321745
thetao,W60p0,2,20,-0.40816127301057514,0.40816127301057514
thetao,W10p0,4,11,0.4074734605441736,0.4074734605441736
so,W40p0,1,7,0.4063706510268191,0.4063706510268191
so,W20p0,6,20,-0.4057477577888284,0.4057477577888284
so,W20p0,1,14,-0.4055067759357274,0.4055067759357274
thetao,W60p0,9,1,0.40518794448139256,0.40518794448139256
thetao,W10p0,4,10,0.40500081473487337,0.40500081473487337
so,W20p0,2,15,-0.4046640213143912,0.4046640213143912
so,W20p0,7,15,0.4045819500276129,0.4045819500276129
so,W10p0,1,10,-0.40442260863456025,0.40442260863456025
thetao,W40p0,10,13,-0.40406554022995494,0.40406554022995494
so,W20p0,6,2,0.40157646285417153,0.40157646285417153
thetao,W20p0,2,16,-0.4007748223705902,0.4007748223705902
so,W60p0,1,3,0.4004973729080116,0.4004973729080116
thetao,W40p0,9,1,0.3992276835608309,0.3992276835608309
thetao,W30p0,1,13,-0.3984554645724865,0.3984554645724865
so,W30p0,1,18,0.39746744197916206,0.39746744197916206
so,W20p0,7,14,0.39735053594925573,0.39735053594925573
so,W10p0,1,7,-0.39553372828547273,0.39553372828547273
thetao,W30p0,1,2,-0.3948638734676415,0.3948638734676415
thetao,W40p0,3,19,0.39475672392003436,0.39475672392003436
