N_seeds,n_features_after_window,max_lag_used,alpha,r2,corr,var_ratio
5,16,23,100000.0,-0.014674084979221291,-0.8772755746208886,0.0021459246328618
10,21,23,100000.0,-0.014092493940975892,-0.8574742453037816,0.0024475371864501726
15,28,25,100000.0,-0.006440724694003697,-0.8942358581702292,0.00313721385419893
20,37,25,0.0001,0.7650188390457083,0.8966315935715901,0.7793072383733416
30,61,25,10.0,0.5575884751411395,0.9059939503418596,0.5416997833863457
40,73,25,100.0,0.46071688301786695,0.9195567531854012,0.42100055534547487
50,98,25,100.0,0.5155432877113864,0.9241996144056721,0.41549301251239595
