n,feature,score,curve_r2
1,so W30p0 EOF1 lag0,,0.3389396962502694
2,so W30p0 EOF1 lag1,,0.4503283572747919
3,so W10p0 EOF1 lag0,,0.7438625640257316
4,thetao W20p0 EOF2 lag6,,0.746577864783545
5,thetao W40p0 EOF2 lag7,,0.7496161520327524
6,thetao W20p0 EOF2 lag7,,0.7822698655365389
7,thetao W40p0 EOF2 lag6,,0.7844207154680374
8,so W20p0 EOF1 lag0,,0.852081778775392
9,so W30p0 EOF1 lag2,,0.8522127456885433
10,so W40p0 EOF1 lag0,,0.8739374988391222
