var,lon,mode,mode0,lag
so,W20p0,1,0,21
thetao,W10p0,1,0,19
thetao,W20p0,2,1,0
thetao,W40p0,4,3,0
thetao,W60p0,2,1,0
thetao,W60p0,2,1,12
thetao,W60p0,2,1,17
thetao,W60p0,2,1,18
thetao,W60p0,2,1,19
thetao,W60p0,2,1,20
