n,delta_r2,post_r2,var,lon_tag,mode,lag
18,0.05172923247649197,0.16962711000345332,thetao,W40p0,2,2
32,0.03937926231582656,0.31515581399983916,so,W40p0,5,1
23,0.029032574609677453,0.20727750394326394,thetao,W40p0,2,1
27,0.026890178724232605,0.23722206415494262,so,W20p0,7,3
7,0.021162569637102058,0.05414428512291569,so,W10p0,10,12
8,0.020719589784535364,0.07486387490745106,so,W10p0,7,16
31,0.01989469971571478,0.2757765516840126,thetao,W40p0,6,1
28,0.018307877532686367,0.255529941687629,thetao,W30p0,5,9
33,0.016364455815757295,0.33152026981559646,so,W60p0,1,0
11,0.014511059424853201,0.09191563257305724,so,W10p0,7,15
14,0.013850103236394018,0.11298804772882665,so,W20p0,7,4
3,0.01360201210255596,0.02250209657876534,so,W40p0,3,17
45,0.01187413152561878,0.35962335678615365,so,W40p0,5,0
46,0.010410189296675698,0.37003354608282935,so,W60p0,1,2
