n,feature,score,curve_r2
1,thetao W40p0 EOF2 lag0,,0.1583835066397606
2,thetao W40p0 EOF2 lag1,,0.1590674576425259
3,so W10p0 EOF7 lag12,,0.5446695650741978
4,so W10p0 EOF2 lag20,,0.6286364427294528
5,so W10p0 EOF7 lag13,,0.6517346234084631
6,so W10p0 EOF7 lag11,,0.6980926387352686
7,so W10p0 EOF2 lag19,,0.7036752258970396
8,so W10p0 EOF7 lag10,,0.7520386950127157
9,so W60p0 EOF1 lag4,,0.7762209357631197
10,so W30p0 EOF1 lag0,,0.7925061737415973
