,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag14,lag15,lag16,lag17,lag18,lag19,lag20,lag21,lag22,lag23,lag24,lag25
so W60p0 EOF1,0.5683468676054323,0.622751474509531,0.6234250181049615,0.6048068481775939,0.5801612971274009,0.5798035344553443,0.6123260516070532,0.6039264398557265,0.6248456718385608,0.5810754500686134,0.555688818931533,0.5697709327448145,0.5277478528962909,0.46099840868042796,0.4068740091127625,0.3488856496500496,0.25201663208423275,0.21926045875029218,0.211746175137342,0.1794343316954606,0.1345418203392505,0.12749811492459318,0.12672802684409354,0.08107241889433274,0.044350105805747844,0.004668323841146857
thetao W10p0 EOF2,-0.3577021040802367,-0.38647211873932835,-0.45549503288136517,-0.5022966156002764,-0.4756583436412922,-0.4521291884025818,-0.4470295875668652,-0.4351859136298557,-0.45527825116259846,-0.4665617302595735,-0.4414021780229384,-0.43767565615639453,-0.4096274779551113,-0.43105183915917433,-0.4805234828519624,-0.45096024512164334,-0.437511046514862,-0.40979300108875116,-0.4270970552191659,-0.4000735229378348,-0.3277366051707835,-0.30412573784018837,-0.2597114086258383,-0.2785837095006438,-0.2964834662509511,-0.29589765979626215
thetao W60p0 EOF2,-0.5345303733235223,-0.42258481468008996,-0.3188976665301902,-0.2309298842073694,-0.27055861484308025,-0.3469336748648136,-0.351850191837731,-0.33538493982627254,-0.3514819573826201,-0.32390677794766976,-0.22336422782243093,-0.19340265467760032,-0.19788061788456188,-0.17308041659564072,-0.17514633105952446,-0.19653857143528475,-0.20909501875987455,-0.19942778943619704,-0.18982037757677853,-0.17828705601063988,-0.16867568209229925,-0.18061994017386884,-0.16708363389200212,-0.1191393393527123,-0.12516461687738797,-0.1522372790254691
so W30p0 EOF1,-0.2408804132806464,-0.4301562658357117,-0.4574231088825041,-0.5225209135370082,-0.5261078275442703,-0.5186482469075672,-0.4471568720950635,-0.39962522916224175,-0.44386130401795515,-0.3608867071057515,-0.28430826575358187,-0.3107415427669993,-0.3288210099657794,-0.3112563846370381,-0.23455036839107873,-0.2102723679364956,-0.1271245248296387,-0.07709829542279992,-0.033992697236684806,-0.009361208955783294,-0.00037097843226406726,-0.03933169414073715,0.01049176250222968,0.044078307907285466,0.07466820769190993,0.09189875158128159
so W10p0 EOF5,0.030048983031176958,-0.05891062671261074,-0.03437583861452508,-0.07698922886361921,-0.15040403762882362,-0.15002264557148892,-0.19642979230471921,-0.18282253032810175,-0.18135320938932936,-0.14609320749424304,-0.1448109610536844,-0.23517254835231702,-0.1885785772480819,-0.2463081346079155,-0.34893940849456623,-0.4035830648971946,-0.46660081906630113,-0.373527946990259,-0.4318897258047636,-0.387229539835516,-0.4255697921501384,-0.45559884839797177,-0.34327192247239563,-0.4265877931222458,-0.3480987289269486,-0.37177861470059576
so W30p0 EOF9,0.11706530858071741,0.03493444925529982,0.10487221491308703,0.20993301688006907,0.1734425138655645,0.21854864811574748,0.20803985366514927,0.18894499637282777,0.20613251988186473,0.2960908640353695,0.26147302609009393,0.24466993018684857,0.3727787262045268,0.38881459228737025,0.2700929100278199,0.3077249461683482,0.4054130328142475,0.29706131822859705,0.21558471069363083,0.32278891815544375,0.3309927711607971,0.32185432602437253,0.3347758451803938,0.3173600485593119,0.33753570189827997,0.3954714706605802
