Top curve-selected candidate steps (mapped to ranked features)
MODEL=IPSL-CM6A-LR  TARGET=AMOC_45N_member  MODE=member  RUN=r22i1p1f1
curve_file=/data/users/frekle/Final_figures/IPSL-CM6A-LR/AMOC_45N_member/Feature_selection/r22i1p1f1/spike_curve_post.csv
candidate_method=all  topK=10  score_col=None

n=  1  curve_r2=0.1803  feature=thetao W40p0 EOF3 lag0
n=  2  curve_r2=0.5525  feature=thetao W60p0 EOF2 lag0
n=  3  curve_r2=0.5840  feature=so W60p0 EOF1 lag1
n=  4  curve_r2=0.5955  feature=so W60p0 EOF1 lag0
n=  5  curve_r2=0.5959  feature=so W60p0 EOF1 lag2
n=  6  curve_r2=0.5933  feature=so W30p0 EOF1 lag9
n=  7  curve_r2=0.5923  feature=so W30p0 EOF1 lag10
n=  8  curve_r2=0.5918  feature=so W60p0 EOF1 lag3
n=  9  curve_r2=0.5911  feature=so W30p0 EOF1 lag8
n= 10  curve_r2=0.5901  feature=thetao W60p0 EOF2 lag1
