n,feature,score,curve_r2
1,thetao W40p0 EOF3 lag0,,0.0009189985685658
2,thetao W60p0 EOF2 lag0,,0.0027826425538505
3,so W10p0 EOF4 lag1,,0.0032791742820177
4,so W10p0 EOF4 lag0,,0.0039595046667091
5,thetao W60p0 EOF2 lag1,,0.0088659431799159
6,so W10p0 EOF4 lag2,,0.0219974522093318
7,so W30p0 EOF1 lag5,,0.0270454160656486
8,so W30p0 EOF1 lag4,,0.0331880557728482
9,so W40p0 EOF3 lag0,,0.0499384046768726
10,thetao W10p0 EOF3 lag15,,0.0583222533727884
