n,feature,score,curve_r2
1,so W60p0 EOF1 lag0,,0.249439467019931
2,so W20p0 EOF6 lag13,,0.4632582790044871
3,so W60p0 EOF1 lag1,,0.50539678393388
4,so W20p0 EOF6 lag12,,0.5733986444565524
5,thetao W40p0 EOF10 lag1,,0.6084871333421767
6,so W60p0 EOF2 lag0,,0.6248266574738898
7,so W30p0 EOF2 lag0,,0.630162351100935
8,so W40p0 EOF2 lag3,,0.6459398338054139
9,so W20p0 EOF6 lag14,,0.6755552788282173
10,thetao W40p0 EOF6 lag2,,0.7075188731761421
