n,delta_r2,post_r2,var,lon_tag,mode,lag
7,0.09898743371836527,0.3504197085677382,so,W30p0,1,4
5,0.07596273961459854,0.24759003787913836,so,W40p0,2,0
50,0.05480099789609738,0.6552639526573901,so,W10p0,5,17
2,0.04346589849302762,0.17084910530838882,so,W60p0,1,0
8,0.04271608377017555,0.39313579233791374,so,W30p0,1,3
53,0.03064325607911167,0.6941326967493733,thetao,W60p0,4,20
22,0.030205677461505154,0.5014548265545653,so,W10p0,5,15
45,0.021078167942091275,0.5798944701171873,thetao,W30p0,4,0
28,0.019322481172126205,0.5241744202685288,so,W30p0,1,5
47,0.01885279310136867,0.5990589204145769,so,W30p0,1,6
9,0.01738129626605167,0.4105170886039654,so,W40p0,2,1
40,0.015281420807982338,0.5566014929514782,so,W30p0,2,0
15,0.01332454416196005,0.4481636104137162,thetao,W30p0,9,19
38,0.010143183780061404,0.537546082829556,thetao,W30p0,4,2
