n,feature,score,curve_r2
1,thetao W40p0 EOF3 lag0,,0.4909613414404512
2,so W60p0 EOF1 lag0,,0.51912345720878
3,so W60p0 EOF1 lag1,,0.5329077501838928
4,thetao W60p0 EOF2 lag0,,0.5358719422751657
5,thetao W20p0 EOF2 lag0,,0.5389002499091395
6,thetao W30p0 EOF3 lag14,,0.5379754130434622
7,so W60p0 EOF1 lag3,,0.5404058654294517
8,so W60p0 EOF1 lag10,,0.5628222432239169
9,so W60p0 EOF1 lag2,,0.5879927613644526
10,thetao W30p0 EOF3 lag13,,0.5881912029465927
