n,delta_r2,post_r2,var,lon_tag,mode,lag
2,0.20680187052909327,0.3484280376456902,so,W40p0,1,0
5,0.11519371523708144,0.49251928173603454,so,W30p0,2,0
13,0.10530780052090127,0.6302190128995812,so,W60p0,9,4
29,0.028627062299108053,0.7406865593159093,thetao,W20p0,8,0
20,0.027464453702855107,0.6892794931431789,thetao,W30p0,4,0
17,0.024517718746670525,0.6578808053585488,thetao,W20p0,1,1
4,0.023592736068462683,0.3773255664989531,thetao,W20p0,1,3
8,0.022251262380017955,0.5165242812900591,thetao,W30p0,4,1
34,0.018699787462061246,0.7842089121678852,thetao,W30p0,2,0
26,0.016892015673817262,0.7118906555049351,so,W20p0,6,0
60,0.015915616813783173,0.8913670945763925,thetao,W60p0,7,20
52,0.01413154162815411,0.8456651523331815,so,W10p0,8,8
31,0.013868102372351698,0.7604786853969019,thetao,W40p0,6,9
43,0.011096869458929626,0.8106385116199288,so,W60p0,10,16
45,0.010896943961095973,0.8215034163870354,thetao,W40p0,6,10
