alpha,mean_cv_r2,std_cv_r2,n_folds_used
10.0,-4.604992110102356,4.141932543945043,3
5.0,-4.909210385772875,3.925991466242184,3
4.0,-5.12280398629822,3.8423862625476706,3
30.0,-5.169692674340427,4.1061293627697575,3
40.0,-5.39571688644116,4.067609060132905,3
3.0,-5.44881578967172,3.7552472796970187,3
50.0,-5.563765416366003,4.042539443751243,3
60.0,-5.691985460615307,4.026466339960415,3
70.0,-5.7925860147453045,4.01611873600655,3
100.0,-5.995397629897345,4.002470507906621,3
300.0,-6.381490919146093,4.010031214311376,3
1.0,-6.70014906545472,3.8136093859284825,3
0.3,-7.452623396582344,4.191734479480456,3
0.1,-7.714181848987152,4.408570969314501,3
0.03,-7.813115426544372,4.50517767096836,3
0.01,-7.84231669342723,4.535302188595155,3
