n,feature,score,curve_r2
1,so W40p0 EOF2 lag1,,0.0442951661414157
2,so W40p0 EOF2 lag2,,0.1684641665903784
3,so W10p0 EOF2 lag0,,0.2789054083946424
4,so W10p0 EOF2 lag1,,0.372925180310831
5,so W40p0 EOF2 lag3,,0.4220980642987665
6,thetao W40p0 EOF6 lag1,,0.4902956603180921
7,so W40p0 EOF5 lag0,,0.5187746831700537
8,so W40p0 EOF2 lag0,,0.5428868703171554
9,thetao W30p0 EOF1 lag3,,0.5481767926883179
10,thetao W30p0 EOF1 lag4,,0.5685318873253193
