n,feature,score,curve_r2
1,thetao W40p0 EOF2 lag0,,-9.740341701667743
2,thetao W40p0 EOF2 lag1,,-10.50880112217032
3,thetao W40p0 EOF2 lag2,,-8.207481373982187
4,thetao W30p0 EOF2 lag2,,-12.953872200567767
5,thetao W10p0 EOF2 lag4,,-5.604269070131193
6,thetao W10p0 EOF2 lag3,,-5.28339367039943
7,thetao W10p0 EOF2 lag2,,-4.504419840140964
8,so W10p0 EOF1 lag1,,-3.2925101131458434
9,thetao W30p0 EOF2 lag3,,-4.416448455788476
10,thetao W30p0 EOF2 lag1,,-5.040540479486548
