k,r2_train,corr_train,r2_test,corr_test,subset_idx,subset_features,candidate_source,candidate_method,selected_by,amoc_variant,amoc_var_used
1,0.6253439734305737,0.790808311125877,0.6512769003861494,0.8815939591246448,4,thetao W10p0 EOF2 lag4,spike_curve_post.csv,all,train,smooth,AMOC_45N_smooth
2,0.7980193587451081,0.8933334147990915,0.5056504211429422,0.9668096626142059,"6,22",thetao W10p0 EOF2 lag2 | so W30p0 EOF1 lag0,spike_curve_post.csv,all,train,smooth,AMOC_45N_smooth
3,0.8423466064477981,0.9178024330838789,0.6721228967638646,0.9647120423653691,"0,4,45",thetao W40p0 EOF2 lag0 | thetao W10p0 EOF2 lag4 | thetao W10p0 EOF2 lag9,spike_curve_post.csv,all,train,smooth,AMOC_45N_smooth
