n,delta_r2,post_r2,var,lon_tag,mode,lag
2,0.12416900044896273,0.16846416659037844,so,W40p0,2,2
3,0.11044124180426396,0.2789054083946424,so,W10p0,2,0
4,0.0940197719161886,0.372925180310831,so,W10p0,2,1
6,0.06819759601932562,0.49029566031809213,thetao,W40p0,6,1
5,0.04917288398793551,0.4220980642987665,so,W40p0,2,3
12,0.04883934823762881,0.6554707153068497,thetao,W60p0,10,0
11,0.0380994797439016,0.6066313670692209,thetao,W40p0,6,2
23,0.0340394430615244,0.8006658801198436,thetao,W30p0,9,3
39,0.03245953254400191,0.8620867748518087,thetao,W40p0,2,2
7,0.028479022851961577,0.5187746831700537,so,W40p0,5,0
8,0.024112187147101727,0.5428868703171554,so,W40p0,2,0
18,0.021409071183862483,0.7228280122208137,thetao,W30p0,1,5
10,0.02035509463700147,0.5685318873253193,thetao,W30p0,1,4
15,0.018689719857310494,0.6910080037166146,thetao,W30p0,1,6
19,0.017611174273227448,0.7404391864940412,thetao,W30p0,9,1
13,0.01498918698605034,0.6704599022929001,so,W10p0,2,2
24,0.012967284541949287,0.8136331646617929,so,W40p0,2,4
45,0.010620590819561015,0.8863225525932982,so,W30p0,5,18
17,0.010500396808882262,0.7014189410369512,thetao,W60p0,4,10
22,0.010284344468141526,0.7666264370583192,so,W40p0,5,1
