k,r2_test,corr_test,subset_idx,subset_features,candidate_source,candidate_method
1,0.7597221372623446,0.9344835150826044,23,so W30p0 EOF1 lag3,spike_curve_post.csv,all
2,0.8806397973422275,0.9448493163135016,"0,53",so W60p0 EOF1 lag1 | thetao W10p0 EOF2 lag11,spike_curve_post.csv,all
3,0.927448404881738,0.9636381747912677,"16,19,23",thetao W40p0 EOF3 lag0 | so W60p0 EOF1 lag0 | so W30p0 EOF1 lag3,spike_curve_post.csv,all
4,0.9368099660151099,0.9708359635162893,"16,19,23,44",thetao W40p0 EOF3 lag0 | so W60p0 EOF1 lag0 | so W30p0 EOF1 lag3 | so W20p0 EOF10 lag20,spike_curve_post.csv,all
5,0.9411043174205018,0.9706685641414562,"0,21,23,29,53",so W60p0 EOF1 lag1 | so W30p0 EOF1 lag4 | so W30p0 EOF1 lag3 | thetao W20p0 EOF3 lag20 | thetao W10p0 EOF2 lag11,spike_curve_post.csv,all
