n,feature,score,curve_r2
1,so W60p0 EOF1 lag1,,0.4214391912449802
2,so W60p0 EOF1 lag2,,0.5816047823236151
3,so W60p0 EOF1 lag8,,0.6402161282992067
4,so W60p0 EOF1 lag6,,0.6638440316408983
5,thetao W10p0 EOF2 lag16,,0.6856157997408201
6,thetao W10p0 EOF2 lag15,,0.6925025393271251
7,so W40p0 EOF3 lag0,,0.6931826030319801
8,so W60p0 EOF1 lag3,,0.7119409241790748
9,thetao W10p0 EOF2 lag18,,0.7450779513483795
10,so W60p0 EOF1 lag7,,0.7497349529994655
