alpha,mean_cv_r2,std_cv_r2,n_folds_used
4.0,-0.5870489916433218,0.2557102179062561,3
3.0,-0.5879735207405522,0.249206458608766,3
5.0,-0.5907505858677056,0.26373725708157253,3
10.0,-0.6280919826049945,0.3033963386237777,3
1.0,-0.6427964425035765,0.2650819338661301,3
0.3,-0.7360827451993188,0.32351791011770503,3
30.0,-0.7454351311004569,0.37581292196148564,3
40.0,-0.776673784205738,0.3870353952365594,3
0.1,-0.7876954270657212,0.36143317726137963,3
50.0,-0.7986015934387867,0.39269639821575975,3
0.03,-0.8104060340677354,0.37896303068872617,3
60.0,-0.8147009804871542,0.39553858492110183,3
0.01,-0.81743491027198,0.3844772278200237,3
70.0,-0.8269634863089572,0.39686626670685893,3
100.0,-0.8506683305843312,0.3970521592730696,3
300.0,-0.8914549816273434,0.3875444616270075,3
