N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,mean_n_features,mean_max_lag,n_folds_used
20,2,1000.0,-0.6302438833929798,0.8582376176013464,0.06474558397628188,0.2179528357333196,59.5,24.25,4
50,0,1000.0,-0.632389443675534,0.9104815573167446,0.12519509494659875,0.20154078314511809,50.0,25.0,4
10,3,1000.0,-0.6354875340546089,0.8999540556219191,0.14319025462059165,0.19115630856137922,44.25,23.25,4
30,3,100.0,-0.6404857282960241,0.3905378133825831,0.10128880876795256,0.4717583509149788,103.75,25.0,4
15,2,100.0,-0.6433237546304678,0.4498918508760369,0.1030828138340904,0.4314499122770918,46.25,23.0,4
15,3,100.0,-0.6460967459528348,0.35887630433564904,0.1127556863279103,0.46013233124057334,59.5,23.75,4
50,1,10.0,-0.6635433486385053,0.8781400436237324,0.24361292777309096,0.5848917087087193,87.5,25.0,4
50,0,10.0,-0.6638218435760516,0.7294981266440048,0.2910915879796355,0.6048866718218189,50.0,25.0,4
15,3,1000.0,-0.6850194068895179,0.9546264459327235,0.10985805782853461,0.20362665722016737,59.5,23.75,4
40,3,10.0,-0.6909276118595973,0.38528548991665,0.1592043313403347,0.5662802905973344,125.75,25.0,4
40,2,1.0,-0.6921652393727713,0.5798516808830492,0.19012448456634118,0.7604239422406613,99.75,25.0,4
20,2,100.0,-0.6962289694782314,0.24313503856969196,0.12809828463550008,0.47928799278857614,59.5,24.25,4
30,0,1000.0,-0.7020591675074318,1.050153794360767,0.1476173216874488,0.15778698640360242,30.0,24.25,4
50,3,1.0,-0.7108703343666791,0.531916455700058,0.2535178459460257,0.7157828544803468,152.75,25.0,4
20,1,1000.0,-0.7120375008317195,0.9932714155802866,0.07901090757281837,0.18787017318411664,40.25,23.5,4
40,0,1000.0,-0.7179741401111439,1.0354905881166938,0.07306740083524853,0.18790315919255132,40.0,24.75,4
5,0,10.0,-0.72593264723347,0.47936395625176065,0.15188232656331274,0.4994318806027589,5.0,20.25,4
5,1,10.0,-0.7322421252724369,0.2368322913305324,0.17450012358924138,0.5228918881744657,11.25,21.25,4
10,2,1000.0,-0.7487077903268473,1.0798018946657466,0.11888454481357699,0.17936301645590028,34.25,22.5,4
30,2,1.0,-0.7675267827989718,0.671822678949534,0.300963042263819,0.7865980793559767,82.0,25.0,4
