n_features,maxlag_used,overall_r2,overall_corr,delta_r2,calib_a,calib_b,n_train_used,n_test_used,last_added_feature
170,20,0.31415408772605136,0.675974076885821,0.010363219080771868,1.0664173531202856,-0.8318069432558169,120,25,thetao W20p0 EOF9 lag13
171,20,0.3073132833556438,0.6736416600787581,-0.006840804370407572,1.0666318839767994,-0.8344937148238989,120,25,thetao W40p0 EOF3 lag17
172,20,0.3305297398723168,0.6831075380154435,0.023216456516673034,1.0670695267090409,-0.8399747261295604,120,25,so W60p0 EOF3 lag19
173,20,0.3258804344883711,0.6815062080751054,-0.004649305383945701,1.0671379336788025,-0.8408314509121898,120,25,thetao W20p0 EOF3 lag13
174,20,0.32382284964313235,0.6811233400239562,-0.002057584845238769,1.0671498234305055,-0.840980357448737,120,25,thetao W40p0 EOF3 lag15
175,20,0.32506457576689285,0.6817333202587479,0.0012417261237605004,1.0673382898560866,-0.8433406996485465,120,25,thetao W40p0 EOF3 lag8
176,20,0.3247304421516506,0.6816580171191909,-0.00033413361524226026,1.0673779467477134,-0.8438373601785565,120,25,thetao W40p0 EOF5 lag14
177,20,0.33201120611846313,0.6845955626346348,0.007280763966812542,1.0671203660075381,-0.8406114344519157,120,25,so W20p0 EOF4 lag4
178,20,0.3557199355505094,0.6946861631059031,0.02370872943204627,1.0673544903954195,-0.8435435942305868,120,25,thetao W60p0 EOF6 lag15
179,20,0.3383542593787089,0.6883119012539729,-0.017365676171800515,1.0672834801010955,-0.8426542655674166,120,25,so W30p0 EOF9 lag14
180,20,0.336530133136565,0.6876481077535138,-0.0018241262421438975,1.0674636048457893,-0.8449101370565614,120,25,thetao W40p0 EOF3 lag5
181,20,0.3262321146277084,0.6842379963045087,-0.010298018508856588,1.0675415264588142,-0.8458860226602336,120,25,thetao W30p0 EOF8 lag11
182,20,0.32365236970155264,0.6834995210390052,-0.002579744926155758,1.0674655257463295,-0.8449341942996104,120,25,so W20p0 EOF10 lag14
183,20,0.3587865241547391,0.6979349347622413,0.03513415445318646,1.0680656320957218,-0.8524498901933062,120,25,so W10p0 EOF8 lag18
184,20,0.38937187060965384,0.7110908609041529,0.03058534645491473,1.0687651006092633,-0.8612099918658268,120,25,so W10p0 EOF8 lag19
185,20,0.3870247088656078,0.7105798855232778,-0.0023471617440460335,1.0687807860378762,-0.8614064352321216,120,25,thetao W40p0 EOF3 lag14
186,20,0.3559631250441804,0.6981613817014114,-0.03106158382142743,1.0685293155043745,-0.8582570333670382,120,25,thetao W30p0 EOF8 lag16
187,20,0.3361226221449828,0.6906377919859045,-0.019840502899197587,1.0686311398607087,-0.859532275492968,120,25,thetao W20p0 EOF4 lag19
188,20,0.346118290449151,0.6945802389879451,0.009995668304168204,1.068562649292233,-0.858674503725059,120,25,so W20p0 EOF4 lag2
189,20,0.34329864271301747,0.6937195335806897,-0.0028196477361335237,1.0690641591177552,-0.8649553826728427,120,25,thetao W60p0 EOF2 lag15
190,20,0.342161084919244,0.6932637308355593,-0.0011375577937734471,1.0693210510662412,-0.8681726820137182,120,25,thetao W60p0 EOF2 lag17
191,20,0.34225818817702613,0.6933091193453864,9.710325778211626e-05,1.0693126438916893,-0.8680673910643341,120,25,thetao W30p0 EOF3 lag18
