n,delta_r2,post_r2,var,lon_tag,mode,lag
2,0.14010917672432777,0.45801578616727157,thetao,W40p0,5,1
3,0.03966047493218694,0.4976762610994585,thetao,W20p0,3,11
8,0.039152971796568625,0.5814956502893869,thetao,W10p0,2,11
54,0.03201564070251828,0.8570477284060353,so,W30p0,1,7
4,0.025947881449088328,0.5236241425485468,thetao,W20p0,3,9
13,0.024791278749537238,0.644790892561022,thetao,W10p0,2,9
27,0.023176482545396837,0.696854318990002,thetao,W20p0,3,14
28,0.02160903219912702,0.7184633511891291,thetao,W10p0,2,17
11,0.019434097999024624,0.6008317499547182,so,W60p0,1,1
12,0.0191678638567665,0.6199996138114847,thetao,W10p0,2,10
52,0.018850281085188603,0.8235598413502171,thetao,W10p0,2,5
7,0.018017194376172663,0.5423426784928183,thetao,W20p0,3,10
36,0.016626693445062735,0.7812759244439957,so,W30p0,1,5
35,0.016411210942496757,0.764649230998933,thetao,W10p0,2,15
46,0.013005623942548561,0.803036729610717,so,W60p0,1,3
15,0.010037119613566237,0.6626855080271563,thetao,W20p0,3,8
