alpha,mean_cv_r2,std_cv_r2
5.0,-6.319878277678289,4.7170466194817955
4.0,-6.344211932339493,4.151769189598949
3.0,-6.419034864426746,3.5840558071605795
10.0,-6.604261842373874,6.827815664214756
1.0,-6.847647681197273,2.932565912413674
0.3,-7.219554852753262,3.195909433769299
0.01,-7.274185937516289,3.598944592399711
0.03,-7.2939447344061605,3.555209642844835
0.1,-7.313584759689459,3.427949905596095
30.0,-8.736668315722637,9.487953018090396
40.0,-9.595471498950063,9.948144259658774
50.0,-10.311220389542298,10.265554631288365
60.0,-10.915867537423575,10.507658056988612
70.0,-11.433870533825818,10.703711589553144
100.0,-12.625348467630849,11.135470042646265
300.0,-15.70957652521475,12.270057862292903
