alpha,mean_cv_r2,std_cv_r2,n_folds_used
300.0,-8.482712441514755,7.455388622286347,3
100.0,-11.046253300370019,10.90655902022454,3
70.0,-12.223786862743586,12.504378344901712,3
60.0,-12.76412402207501,13.237322601985166,3
0.01,-12.922039493499264,11.692873256994904,3
0.03,-12.971920838292954,11.780286092662278,3
0.1,-13.142572066594342,12.076970100744902,3
50.0,-13.41313617715282,14.116356735443162,3
0.3,-13.597112286117161,12.852094461880707,3
40.0,-14.20152787975554,15.180663768464523,3
1.0,-14.851014118163361,14.917066013626341,3
30.0,-15.164580666729924,16.47166851996193,3
3.0,-16.67681098711677,17.86418390059849,3
4.0,-17.087962191010938,18.546624285072188,3
5.0,-17.329329417734797,18.966398276900453,3
10.0,-17.424458141576757,19.33916734697053,3
