var,lon_tag,mode,lag,corr,abs_corr
so,W10p0,1,4,-0.5976450060842965,0.5976450060842965
so,W10p0,1,5,-0.5955774122655747,0.5955774122655747
thetao,W60p0,1,18,-0.5875478533198666,0.5875478533198666
so,W10p0,1,6,-0.584612486169654,0.584612486169654
so,W10p0,1,3,-0.5837159274873714,0.5837159274873714
so,W20p0,1,1,-0.5796153761557641,0.5796153761557641
so,W20p0,1,2,-0.564624022649428,0.564624022649428
so,W10p0,1,2,-0.5640917437504028,0.5640917437504028
so,W20p0,1,0,-0.5632012513040582,0.5632012513040582
thetao,W60p0,5,7,-0.5630669700067515,0.5630669700067515
so,W10p0,1,1,-0.5562417344080334,0.5562417344080334
so,W20p0,1,3,-0.5540040401878147,0.5540040401878147
so,W20p0,1,4,-0.5535481525546496,0.5535481525546496
thetao,W20p0,2,0,-0.551239608932004,0.551239608932004
so,W20p0,1,20,-0.5487229645360451,0.5487229645360451
so,W10p0,1,7,-0.5464889469614889,0.5464889469614889
so,W10p0,1,10,-0.5450232157105449,0.5450232157105449
so,W20p0,1,7,-0.5426794916272148,0.5426794916272148
so,W30p0,1,3,-0.5404918503517443,0.5404918503517443
so,W20p0,1,5,-0.5387043184097211,0.5387043184097211
so,W30p0,1,2,-0.5386383279667177,0.5386383279667177
thetao,W20p0,2,1,-0.5384002416375944,0.5384002416375944
so,W20p0,1,14,-0.5378630481986976,0.5378630481986976
so,W10p0,1,9,-0.5378483068453538,0.5378483068453538
so,W10p0,1,0,-0.5372593462348733,0.5372593462348733
so,W20p0,1,6,-0.5364809681323076,0.5364809681323076
thetao,W30p0,2,1,-0.534556465907271,0.534556465907271
so,W20p0,1,8,-0.5342690229088072,0.5342690229088072
so,W20p0,1,13,-0.5330072478751524,0.5330072478751524
thetao,W60p0,1,19,-0.5326444123280867,0.5326444123280867
so,W60p0,5,0,0.5325880426768949,0.5325880426768949
thetao,W60p0,5,6,-0.5321763700064642,0.5321763700064642
so,W20p0,1,19,-0.532125186936828,0.532125186936828
so,W60p0,1,18,-0.5310506908182252,0.5310506908182252
so,W20p0,1,11,-0.5293900536621188,0.5293900536621188
so,W10p0,1,8,-0.5291592960401524,0.5291592960401524
so,W20p0,1,9,-0.5265322438983584,0.5265322438983584
thetao,W60p0,1,17,-0.5259069567139245,0.5259069567139245
so,W10p0,1,12,-0.5254331326294103,0.5254331326294103
thetao,W40p0,2,0,-0.5254064943189416,0.5254064943189416
so,W30p0,1,4,-0.5248220459829763,0.5248220459829763
so,W20p0,1,10,-0.5241095945545304,0.5241095945545304
thetao,W20p0,2,15,-0.5226796819013622,0.5226796819013622
so,W20p0,1,12,-0.5218478801000467,0.5218478801000467
so,W10p0,1,11,-0.521752091917373,0.521752091917373
so,W30p0,1,1,-0.5213740741566536,0.5213740741566536
so,W20p0,1,18,-0.5195441960441954,0.5195441960441954
so,W20p0,1,15,-0.5184898104155085,0.5184898104155085
so,W30p0,1,10,-0.5181034520948113,0.5181034520948113
thetao,W40p0,2,1,-0.5171561686381738,0.5171561686381738
so,W30p0,1,18,-0.5167239532794659,0.5167239532794659
thetao,W60p0,2,15,0.5166376842376229,0.5166376842376229
so,W60p0,1,17,-0.5130402234982089,0.5130402234982089
thetao,W20p0,2,14,-0.511037306929174,0.511037306929174
so,W10p0,1,13,-0.5100493755542542,0.5100493755542542
thetao,W20p0,2,16,-0.5097091404805744,0.5097091404805744
so,W60p0,5,8,0.5092172489383531,0.5092172489383531
thetao,W20p0,2,5,-0.5089636908957004,0.5089636908957004
so,W30p0,1,17,-0.49952809183104113,0.49952809183104113
so,W30p0,1,11,-0.4991795943849777,0.4991795943849777
thetao,W20p0,2,2,-0.49869951720549455,0.49869951720549455
thetao,W30p0,2,0,-0.497783454896066,0.497783454896066
thetao,W60p0,5,8,-0.4969864432292863,0.4969864432292863
so,W10p0,1,14,-0.49665200296502554,0.49665200296502554
thetao,W20p0,2,4,-0.49348071344515904,0.49348071344515904
thetao,W20p0,2,6,-0.4921109010920759,0.4921109010920759
so,W30p0,1,0,-0.48927015635674254,0.48927015635674254
so,W20p0,1,16,-0.4863270731527741,0.4863270731527741
so,W60p0,5,1,0.4863256116137862,0.4863256116137862
thetao,W60p0,5,5,-0.48536697568266635,0.48536697568266635
so,W60p0,5,7,0.4816077160148517,0.4816077160148517
thetao,W30p0,2,2,-0.47764316053605055,0.47764316053605055
so,W10p0,1,15,-0.4773995253036148,0.4773995253036148
so,W20p0,1,17,-0.4770521616996687,0.4770521616996687
thetao,W20p0,8,8,0.4750372447466564,0.4750372447466564
so,W30p0,1,9,-0.4740203255541901,0.4740203255541901
thetao,W60p0,2,16,0.47164530477824396,0.47164530477824396
so,W30p0,1,16,-0.4667906051868995,0.4667906051868995
so,W30p0,1,19,-0.4662768499120702,0.4662768499120702
thetao,W20p0,2,3,-0.4645925669098488,0.4645925669098488
so,W60p0,5,2,0.462417585746282,0.462417585746282
so,W40p0,1,3,-0.46113628672698365,0.46113628672698365
thetao,W40p0,6,18,0.45927665729061595,0.45927665729061595
thetao,W20p0,2,17,-0.45807425941755214,0.45807425941755214
so,W10p0,1,16,-0.456821405914134,0.456821405914134
thetao,W20p0,2,7,-0.45515547102577697,0.45515547102577697
