k,r2_test,corr_test,subset_idx,subset_features,candidate_source,candidate_method
1,0.858974582441379,0.9554859726949373,6,thetao W10p0 EOF2 lag2,spike_curve_post.csv,all
2,0.9426652519689521,0.9716912083366482,"15,16",thetao W10p0 EOF2 lag1 | thetao W10p0 EOF2 lag6,spike_curve_post.csv,all
3,0.9446316663093516,0.9745282589612366,"15,16,54",thetao W10p0 EOF2 lag1 | thetao W10p0 EOF2 lag6 | thetao W30p0 EOF2 lag6,spike_curve_post.csv,all
4,0.9479975995780257,0.9747605660492432,"6,15,16,54",thetao W10p0 EOF2 lag2 | thetao W10p0 EOF2 lag1 | thetao W10p0 EOF2 lag6 | thetao W30p0 EOF2 lag6,spike_curve_post.csv,all
5,0.947517936600818,0.9749561843012906,"6,15,16,53,54",thetao W10p0 EOF2 lag2 | thetao W10p0 EOF2 lag1 | thetao W10p0 EOF2 lag6 | thetao W10p0 EOF2 lag0 | thetao W30p0 EOF2 lag6,spike_curve_post.csv,all
