alpha,mean_cv_r2,std_cv_r2,n_folds_used
3.0,-0.25455184546474896,0.838910667643976,2
1.0,-0.25492588320576803,0.8413825276031034,2
0.3,-0.25536915827648576,0.8425105616587366,2
0.1,-0.2555285220514472,0.8428606837649741,2
0.03,-0.2555878504127552,0.8429862584943247,2
0.01,-0.25560514300148696,0.8430224290186497,2
10.0,-0.26111899162961427,0.8366951066688005,2
30.0,-0.3153613131540455,0.8576725426894264,2
50.0,-0.3916263006053173,0.8942024729507578,2
100.0,-0.6055590530174382,0.9980267268794087,2
300.0,-1.3425193676589342,1.3032490890867803,2
