n,feature,score,curve_r2
1,thetao W40p0 EOF5 lag20,,0.5190002930158011
2,thetao W30p0 EOF6 lag20,,0.689934845755076
3,thetao W40p0 EOF5 lag19,,0.6963801728144258
4,thetao W10p0 EOF6 lag11,,0.720126673161535
5,thetao W10p0 EOF6 lag12,,0.7291615079265668
6,thetao W10p0 EOF6 lag10,,0.729809526255417
7,thetao W40p0 EOF5 lag18,,0.7299514035619417
8,thetao W30p0 EOF6 lag19,,0.7560341971850927
9,thetao W10p0 EOF6 lag13,,0.7674840130764585
10,thetao W10p0 EOF6 lag14,,0.7678184161617374
