member,year,is_train_time,y_true,y_pred
r10i1p1f1,1853,True,18.770912,19.76205689581233
r10i1p1f1,1854,True,19.32602,19.35345440057636
r10i1p1f1,1855,True,18.864902,19.481887975521648
r10i1p1f1,1856,True,20.834633,20.13006477075507
r10i1p1f1,1857,True,21.30138,20.780657587536282
r10i1p1f1,1858,True,21.03062,21.118359274818125
r10i1p1f1,1859,True,20.061222,20.603336210812174
r10i1p1f1,1860,True,18.529905,19.392058080989763
r10i1p1f1,1861,True,17.32748,17.593462719830498
r10i1p1f1,1862,True,18.99163,18.786447416557
r10i1p1f1,1863,True,17.066998,16.84984233393173
r10i1p1f1,1864,True,15.874455,16.444527279107284
r10i1p1f1,1865,True,15.902438,17.018395369512778
r10i1p1f1,1866,True,17.314184,17.47136732025255
r10i1p1f1,1867,True,18.91616,18.741923467438074
r10i1p1f1,1868,True,20.420717,19.449662941240366
r10i1p1f1,1869,True,19.169405,19.980144537467652
r10i1p1f1,1870,True,17.978317,17.611038585329197
r10i1p1f1,1871,True,19.89189,19.005750816027366
r10i1p1f1,1872,True,19.949966,20.168192067272415
r10i1p1f1,1873,True,20.330387,20.550586704244207
r10i1p1f1,1874,True,18.553503,18.808651873078592
r10i1p1f1,1875,True,19.250368,19.40183550194061
r10i1p1f1,1876,True,21.681324,22.055641958468627
r10i1p1f1,1877,True,21.461487,22.16082542634384
r10i1p1f1,1878,True,22.72072,22.046071576885264
r10i1p1f1,1879,True,19.16123,20.535881538029116
r10i1p1f1,1880,True,19.018383,19.98846687785915
r10i1p1f1,1881,True,19.892122,19.68150053067499
r10i1p1f1,1882,True,18.996796,19.891441764649322
r10i1p1f1,1883,True,19.838377,19.88507158100748
r10i1p1f1,1884,True,19.823244,20.26196603940679
r10i1p1f1,1885,True,21.507269,21.37945043586626
r10i1p1f1,1886,True,20.061556,20.898980040568507
r10i1p1f1,1887,True,21.275967,21.50199948776385
r10i1p1f1,1888,True,20.84638,21.976371768096037
r10i1p1f1,1889,True,21.134192,22.470289250983477
r10i1p1f1,1890,True,21.476007,21.829472711999458
r10i1p1f1,1891,True,23.435843,22.831988281004367
r10i1p1f1,1892,True,22.64532,22.55140109849147
