n,delta_r2,post_r2,var,lon_tag,mode,lag
5,0.275780163994649,0.5683658306501873,thetao,W40p0,2,0
4,0.258283525735751,0.2925856666555383,so,W20p0,1,0
11,0.13382098799144704,0.8315362837177925,thetao,W60p0,3,1
6,0.06488425988035018,0.6332500905305375,thetao,W20p0,2,1
13,0.061614837341617545,0.8942504947853093,so,W60p0,5,2
9,0.04868180916401221,0.6825411755053914,thetao,W20p0,2,0
16,0.019756000238570603,0.9317935977404841,so,W40p0,3,0
24,0.01865314342387636,0.9620681429078854,so,W30p0,1,4
10,0.015174120220954102,0.6977152957263455,so,W10p0,1,1
15,0.015113773435116662,0.9120375975019135,thetao,W20p0,2,5
