n,feature,score,curve_r2
1,so W10p0 EOF6 lag17,,0.2940341778283688
2,thetao W60p0 EOF8 lag16,,0.3183732465821901
3,thetao W60p0 EOF8 lag15,,0.3257080358123805
4,so W40p0 EOF4 lag20,,0.5338525932588876
5,thetao W20p0 EOF2 lag0,,0.5684156669449283
6,thetao W20p0 EOF2 lag1,,0.6408041523395946
7,so W10p0 EOF6 lag16,,0.6820311709737161
8,so W10p0 EOF3 lag19,,0.8420815795016633
9,so W10p0 EOF3 lag18,,0.8451727801196234
10,thetao W60p0 EOF8 lag13,,0.8717735108735557
