n,delta_r2,post_r2,var,lon_tag,mode,lag
5,0.24486023743445617,0.8187223609095919,thetao,W40p0,6,2
2,0.08887070441066713,0.4891881852112633,so,W10p0,2,16
4,0.08414045214949839,0.5738621234751358,so,W10p0,2,17
11,0.06121667236897599,0.934214886690701,so,W10p0,7,7
