rank,feature_index,feature,coef_std,abscoef_std,cluster_root,cluster_size
75,43,thetao W40p0 EOF4 lag0,-0.05050769409780797,0.05050769409780797,43,1
76,207,so W60p0 EOF8 lag0,0.049816101188617505,0.049816101188617505,207,1
77,308,so W30p0 EOF9 lag2,0.04935905502239373,0.04935905502239373,308,1
78,370,so W10p0 EOF1 lag1,-0.04916586600102063,0.04916586600102063,360,4
79,152,thetao W20p0 EOF3 lag3,0.0491495555359722,0.0491495555359722,152,1
80,296,so W30p0 EOF7 lag1,0.04897269690645275,0.04897269690645275,296,1
81,297,so W30p0 EOF8 lag1,0.04873621536159487,0.04873621536159487,297,1
82,119,thetao W30p0 EOF10 lag3,-0.048682015981403585,0.048682015981403585,119,1
83,187,thetao W10p0 EOF8 lag2,0.04772805214285477,0.04772805214285477,187,1
84,21,thetao W60p0 EOF2 lag2,-0.04769940752342633,0.04769940752342633,21,1
85,269,so W40p0 EOF10 lag2,0.04731236639646675,0.04731236639646675,269,1
86,66,thetao W40p0 EOF7 lag2,-0.04709276991977499,0.04709276991977499,66,1
87,126,thetao W20p0 EOF7 lag0,-0.04702029955092825,0.04702029955092825,126,1
88,106,thetao W30p0 EOF7 lag2,-0.04673091687858788,0.04673091687858788,106,1
89,131,thetao W20p0 EOF2 lag1,-0.046001913697100494,0.046001913697100494,131,1
90,181,thetao W10p0 EOF2 lag2,-0.04531334333206576,0.04531334333206576,181,1
91,86,thetao W30p0 EOF7 lag0,-0.04523714022263489,0.04523714022263489,86,1
92,39,thetao W60p0 EOF10 lag3,-0.04442235125137108,0.04442235125137108,39,1
93,199,thetao W10p0 EOF10 lag3,-0.044092410004533254,0.044092410004533254,199,1
94,151,thetao W20p0 EOF2 lag3,-0.0436809188103773,0.0436809188103773,151,1
95,193,thetao W10p0 EOF4 lag3,0.043420269288000905,0.043420269288000905,193,1
96,332,so W20p0 EOF3 lag1,0.043266366413098466,0.043266366413098466,332,1
97,243,so W40p0 EOF4 lag0,-0.04322609778696361,0.04322609778696361,243,1
98,307,so W30p0 EOF8 lag2,0.042560839502403185,0.042560839502403185,307,1
99,154,thetao W20p0 EOF5 lag3,-0.04253555613887352,0.04253555613887352,154,1
100,30,thetao W60p0 EOF1 lag3,0.04242655837009466,0.04242655837009466,30,1
101,293,so W30p0 EOF4 lag1,-0.041918997489659736,0.041918997489659736,293,1
102,148,thetao W20p0 EOF9 lag2,0.041431163898677584,0.041431163898677584,148,1
103,113,thetao W30p0 EOF4 lag3,0.0409126438579353,0.0409126438579353,113,1
104,70,thetao W40p0 EOF1 lag3,-0.040900855318532936,0.040900855318532936,70,2
105,379,so W10p0 EOF10 lag1,0.04041534113464768,0.04041534113464768,379,1
106,236,so W60p0 EOF7 lag3,0.040413664975144634,0.040413664975144634,236,1
107,228,so W60p0 EOF9 lag2,-0.04009301434897338,0.04009301434897338,228,1
108,11,thetao W60p0 EOF2 lag1,-0.03980641032388919,0.03980641032388919,11,1
109,168,thetao W10p0 EOF9 lag0,-0.03966149802804252,0.03966149802804252,168,1
110,283,so W30p0 EOF4 lag0,0.03924693630077952,0.03924693630077952,283,1
111,352,so W20p0 EOF3 lag3,-0.039051675970128236,0.039051675970128236,352,1
112,19,thetao W60p0 EOF10 lag1,-0.03904237965012543,0.03904237965012543,19,1
113,73,thetao W40p0 EOF4 lag3,0.03887772221385777,0.03887772221385777,73,1
114,144,thetao W20p0 EOF5 lag2,-0.03784837780234296,0.03784837780234296,144,1
115,23,thetao W60p0 EOF4 lag2,-0.037815245732083426,0.037815245732083426,23,1
116,317,so W30p0 EOF8 lag3,-0.037805777068227034,0.037805777068227034,317,1
117,60,thetao W40p0 EOF1 lag2,-0.03756919512063605,0.03756919512063605,60,2
118,169,thetao W10p0 EOF10 lag0,-0.037564155873347625,0.037564155873347625,169,1
119,42,thetao W40p0 EOF3 lag0,-0.03703401132445836,0.03703401132445836,42,1
120,321,so W20p0 EOF2 lag0,0.03681741796047134,0.03681741796047134,321,1
121,114,thetao W30p0 EOF5 lag3,0.03680913203007574,0.03680913203007574,114,1
122,288,so W30p0 EOF9 lag0,-0.036768655370894625,0.036768655370894625,288,1
123,272,so W40p0 EOF3 lag3,-0.03602426863469923,0.03602426863469923,272,1
124,172,thetao W10p0 EOF3 lag1,0.035928836315618884,0.035928836315618884,172,1
125,135,thetao W20p0 EOF6 lag1,-0.035795156550285,0.035795156550285,135,1
126,105,thetao W30p0 EOF6 lag2,-0.035701436515627794,0.035701436515627794,105,1
127,54,thetao W40p0 EOF5 lag1,0.03555020526127574,0.03555020526127574,54,1
128,1,thetao W60p0 EOF2 lag0,-0.03542538811388064,0.03542538811388064,1,1
129,186,thetao W10p0 EOF7 lag2,-0.035364996984497646,0.035364996984497646,186,1
130,97,thetao W30p0 EOF8 lag1,-0.03533824510354124,0.03533824510354124,97,1
131,85,thetao W30p0 EOF6 lag0,0.03533481620908253,0.03533481620908253,85,1
132,313,so W30p0 EOF4 lag3,-0.03488051170084719,0.03488051170084719,313,1
133,150,thetao W20p0 EOF1 lag3,-0.0347164481865412,0.0347164481865412,120,4
134,82,thetao W30p0 EOF3 lag0,-0.034503945570111515,0.034503945570111515,82,1
135,76,thetao W40p0 EOF7 lag3,-0.03352591027606929,0.03352591027606929,76,1
136,177,thetao W10p0 EOF8 lag1,0.03286146651405053,0.03286146651405053,177,1
137,395,so W10p0 EOF6 lag3,-0.03269207067768827,0.03269207067768827,395,1
138,318,so W30p0 EOF9 lag3,0.03265426806057551,0.03265426806057551,318,1
139,367,so W10p0 EOF8 lag0,-0.03237492708271244,0.03237492708271244,367,1
140,315,so W30p0 EOF6 lag3,-0.03186748784035185,0.03186748784035185,315,1
141,241,so W40p0 EOF2 lag0,0.03185482374323837,0.03185482374323837,241,1
142,348,so W20p0 EOF9 lag2,0.03171624493627809,0.03171624493627809,348,1
143,122,thetao W20p0 EOF3 lag0,-0.03167365672708504,0.03167365672708504,122,1
144,47,thetao W40p0 EOF8 lag0,-0.031211913780479845,0.031211913780479845,47,1
145,204,so W60p0 EOF5 lag0,0.031020317165590196,0.031020317165590196,204,1
146,141,thetao W20p0 EOF2 lag2,-0.030975316956703577,0.030975316956703577,141,1
147,257,so W40p0 EOF8 lag1,-0.03042870503058074,0.03042870503058074,257,1
148,92,thetao W30p0 EOF3 lag1,-0.030286173996953193,0.030286173996953193,92,1
149,359,so W20p0 EOF10 lag3,0.029907657398526438,0.029907657398526438,359,1
150,63,thetao W40p0 EOF4 lag2,0.029779630298105517,0.029779630298105517,63,1
151,216,so W60p0 EOF7 lag1,0.029506260278772543,0.029506260278772543,216,1
152,354,so W20p0 EOF5 lag3,0.029466693113859087,0.029466693113859087,354,1
153,18,thetao W60p0 EOF9 lag1,0.02940396992826972,0.02940396992826972,18,1
154,392,so W10p0 EOF3 lag3,-0.029203902975549673,0.029203902975549673,392,1
155,252,so W40p0 EOF3 lag1,-0.029101009763376207,0.029101009763376207,252,1
156,362,so W10p0 EOF3 lag0,0.029087575037412543,0.029087575037412543,362,1
157,88,thetao W30p0 EOF9 lag0,-0.02907369350255611,0.02907369350255611,88,1
158,374,so W10p0 EOF5 lag1,0.0289788443311027,0.0289788443311027,374,1
159,267,so W40p0 EOF8 lag2,-0.028445051475117125,0.028445051475117125,267,1
160,14,thetao W60p0 EOF5 lag1,-0.028359262052223815,0.028359262052223815,14,1
161,341,so W20p0 EOF2 lag2,0.028259072528494213,0.028259072528494213,341,1
162,223,so W60p0 EOF4 lag2,0.027515168271987158,0.027515168271987158,223,1
163,215,so W60p0 EOF6 lag1,-0.027413125765267426,0.027413125765267426,215,1
164,35,thetao W60p0 EOF6 lag3,-0.027318574763439116,0.027318574763439116,35,1
165,399,so W10p0 EOF10 lag3,0.027307793413699485,0.027307793413699485,399,1
166,196,thetao W10p0 EOF7 lag3,0.02727390590018357,0.02727390590018357,196,1
167,78,thetao W40p0 EOF9 lag3,0.02705488326810595,0.02705488326810595,78,1
168,342,so W20p0 EOF3 lag2,0.027010243345829035,0.027010243345829035,342,1
169,41,thetao W40p0 EOF2 lag0,0.02692380151272192,0.02692380151272192,41,1
170,302,so W30p0 EOF3 lag2,0.026633529626272058,0.026633529626272058,302,1
171,351,so W20p0 EOF2 lag3,0.026581238495699173,0.026581238495699173,351,1
172,303,so W30p0 EOF4 lag2,-0.026572181532825187,0.026572181532825187,303,1
173,0,thetao W60p0 EOF1 lag0,0.026538425864004445,0.026538425864004445,0,1
174,155,thetao W20p0 EOF6 lag3,0.026074885013696987,0.026074885013696987,155,1
175,394,so W10p0 EOF5 lag3,0.026020985008457446,0.026020985008457446,394,1
176,330,so W20p0 EOF1 lag1,-0.025960462873965764,0.025960462873965764,330,1
177,75,thetao W40p0 EOF6 lag3,0.025901948859822575,0.025901948859822575,75,1
178,345,so W20p0 EOF6 lag2,-0.02585861827422115,0.02585861827422115,345,1
179,233,so W60p0 EOF4 lag3,0.025743428522204355,0.025743428522204355,233,1
180,190,thetao W10p0 EOF1 lag3,-0.025461764490744422,0.025461764490744422,190,1
181,287,so W30p0 EOF8 lag0,0.025303245980900727,0.025303245980900727,287,1
182,52,thetao W40p0 EOF3 lag1,0.02513477358411715,0.02513477358411715,52,1
183,77,thetao W40p0 EOF8 lag3,-0.025085152356098785,0.025085152356098785,77,1
184,265,so W40p0 EOF6 lag2,0.025019488173912734,0.025019488173912734,265,1
185,338,so W20p0 EOF9 lag1,-0.024979231838923782,0.024979231838923782,338,1
186,273,so W40p0 EOF4 lag3,-0.024381299752922983,0.024381299752922983,273,1
187,277,so W40p0 EOF8 lag3,-0.024183426028363677,0.024183426028363677,277,1
188,247,so W40p0 EOF8 lag0,-0.02415824248701755,0.02415824248701755,247,1
189,109,thetao W30p0 EOF10 lag2,-0.024026457447799736,0.024026457447799736,109,1
190,96,thetao W30p0 EOF7 lag1,-0.023764363598545318,0.023764363598545318,96,1
191,36,thetao W60p0 EOF7 lag3,-0.023665161137408887,0.023665161137408887,36,1
192,6,thetao W60p0 EOF7 lag0,-0.023420746423473315,0.023420746423473315,6,1
193,65,thetao W40p0 EOF6 lag2,0.023391785593132437,0.023391785593132437,65,1
194,384,so W10p0 EOF5 lag2,0.023379887204120535,0.023379887204120535,384,1
195,12,thetao W60p0 EOF3 lag1,-0.023039764401566482,0.023039764401566482,12,1
196,331,so W20p0 EOF2 lag1,0.023011426175999602,0.023011426175999602,331,1
197,368,so W10p0 EOF9 lag0,0.022750021023328425,0.022750021023328425,368,1
198,393,so W10p0 EOF4 lag3,0.02247106995140433,0.02247106995140433,393,1
199,3,thetao W60p0 EOF4 lag0,-0.022436178919128736,0.022436178919128736,3,1
200,224,so W60p0 EOF5 lag2,-0.021935598045325477,0.021935598045325477,224,1
201,355,so W20p0 EOF6 lag3,-0.02131735513125662,0.02131735513125662,355,1
202,217,so W60p0 EOF8 lag1,-0.02130755544384298,0.02130755544384298,217,1
203,137,thetao W20p0 EOF8 lag1,-0.02124745202891884,0.02124745202891884,137,1
204,107,thetao W30p0 EOF8 lag2,-0.021195531131621297,0.021195531131621297,107,1
205,344,so W20p0 EOF5 lag2,0.021125056707171477,0.021125056707171477,344,1
206,2,thetao W60p0 EOF3 lag0,0.02105150218370158,0.02105150218370158,2,1
207,316,so W30p0 EOF7 lag3,0.021038952357831455,0.021038952357831455,316,1
208,25,thetao W60p0 EOF6 lag2,0.020901150863160408,0.020901150863160408,25,1
209,20,thetao W60p0 EOF1 lag2,0.020253598048141048,0.020253598048141048,20,1
210,385,so W10p0 EOF6 lag2,0.02012917943601735,0.02012917943601735,385,1
211,334,so W20p0 EOF5 lag1,0.020067173420155505,0.020067173420155505,334,1
212,33,thetao W60p0 EOF4 lag3,-0.020012422501442823,0.020012422501442823,33,1
213,387,so W10p0 EOF8 lag2,-0.019893745969850832,0.019893745969850832,387,1
214,340,so W20p0 EOF1 lag2,-0.0197761108709933,0.0197761108709933,340,1
215,250,so W40p0 EOF1 lag1,0.019705142454224608,0.019705142454224608,50,2
216,375,so W10p0 EOF6 lag1,0.01963158177327574,0.01963158177327574,375,1
217,10,thetao W60p0 EOF1 lag1,-0.01963068158761389,0.01963068158761389,10,1
