var,lon_tag,mode,lag,corr,abs_corr
so,W30p0,7,0,-0.4768090164241842,0.4768090164241842
thetao,W40p0,2,2,-0.452383068765965,0.452383068765965
so,W40p0,5,1,-0.45012032103551525,0.45012032103551525
so,W60p0,2,0,0.44346504028854444,0.44346504028854444
thetao,W20p0,3,2,0.4404563260070911,0.4404563260070911
thetao,W40p0,2,1,-0.4233435329927363,0.4233435329927363
so,W20p0,7,17,-0.41404285465648283,0.41404285465648283
so,W60p0,2,1,0.40792646497955426,0.40792646497955426
so,W20p0,7,18,-0.4018590458641259,0.4018590458641259
so,W40p0,1,0,0.4003357986592269,0.4003357986592269
thetao,W30p0,9,0,-0.3991214070290503,0.3991214070290503
so,W40p0,5,0,-0.3957676083821821,0.3957676083821821
thetao,W20p0,5,17,-0.3894619097324398,0.3894619097324398
so,W60p0,10,4,0.3805628319606548,0.3805628319606548
thetao,W30p0,9,1,-0.3787964444208539,0.3787964444208539
so,W20p0,3,2,0.371179033626877,0.371179033626877
so,W40p0,5,2,-0.3682052295562232,0.3682052295562232
thetao,W60p0,3,1,-0.3681277856221548,0.3681277856221548
thetao,W20p0,3,1,0.36511065583736596,0.36511065583736596
so,W30p0,2,0,-0.36112089406205333,0.36112089406205333
thetao,W20p0,3,3,0.35776118246090977,0.35776118246090977
thetao,W10p0,3,1,0.3521450090984657,0.3521450090984657
thetao,W20p0,5,16,-0.3472387308431323,0.3472387308431323
so,W40p0,6,11,0.3433953542091188,0.3433953542091188
so,W20p0,3,3,0.34072584867556954,0.34072584867556954
thetao,W60p0,9,9,-0.3383830318736814,0.3383830318736814
thetao,W40p0,6,1,0.3375098209536484,0.3375098209536484
so,W40p0,6,10,0.3294357453498262,0.3294357453498262
thetao,W20p0,8,16,0.3233087314137682,0.3233087314137682
so,W10p0,3,5,0.3217931788658765,0.3217931788658765
thetao,W60p0,1,16,-0.3204460364597926,0.3204460364597926
so,W60p0,10,5,0.31861102721649087,0.31861102721649087
thetao,W10p0,3,2,0.31770877577266715,0.31770877577266715
so,W60p0,10,3,0.316583507584821,0.316583507584821
so,W60p0,4,1,0.3165128456686192,0.3165128456686192
so,W40p0,4,7,-0.3160008658643419,0.3160008658643419
thetao,W40p0,6,4,0.31286000115711604,0.31286000115711604
thetao,W40p0,6,2,0.3127074627677448,0.3127074627677448
thetao,W60p0,10,0,-0.31148330796059154,0.31148330796059154
thetao,W60p0,3,2,-0.3084653160654509,0.3084653160654509
so,W60p0,7,11,-0.3083696059094313,0.3083696059094313
thetao,W30p0,8,2,-0.3080314205956954,0.3080314205956954
so,W20p0,5,15,0.3072870938825279,0.3072870938825279
so,W20p0,10,11,0.30722652509415566,0.30722652509415566
thetao,W20p0,10,15,-0.30602708670793194,0.30602708670793194
so,W60p0,1,1,0.3059733426831588,0.3059733426831588
thetao,W40p0,6,3,0.30564127473504255,0.30564127473504255
thetao,W40p0,7,0,0.30520673624246875,0.30520673624246875
so,W60p0,1,0,0.30428240352650143,0.30428240352650143
so,W20p0,6,16,0.304183630374147,0.304183630374147
thetao,W60p0,3,0,-0.3039545788267995,0.3039545788267995
so,W20p0,10,12,0.30328033985050007,0.30328033985050007
thetao,W60p0,1,15,-0.3032261133000935,0.3032261133000935
thetao,W40p0,6,0,0.30093560123654806,0.30093560123654806
so,W20p0,10,20,-0.300386723201606,0.300386723201606
so,W30p0,4,13,0.29998602016415976,0.29998602016415976
thetao,W60p0,1,0,0.2997394856637558,0.2997394856637558
thetao,W60p0,5,11,-0.29942108924897926,0.29942108924897926
thetao,W60p0,1,1,0.2994131573488883,0.2994131573488883
thetao,W40p0,4,9,0.29764865627152276,0.29764865627152276
so,W40p0,2,2,-0.2974784824864065,0.2974784824864065
thetao,W30p0,4,1,0.2969293378149546,0.2969293378149546
thetao,W20p0,5,18,-0.2935757823476943,0.2935757823476943
so,W20p0,3,1,0.2935047722178659,0.2935047722178659
so,W20p0,10,19,-0.29259416569353663,0.29259416569353663
thetao,W20p0,8,17,0.29131048325931463,0.29131048325931463
thetao,W40p0,10,6,-0.28670666039560455,0.28670666039560455
so,W40p0,2,3,-0.2865101662128556,0.2865101662128556
so,W40p0,6,5,-0.28572839756177193,0.28572839756177193
thetao,W40p0,1,0,-0.28554868416620066,0.28554868416620066
so,W10p0,3,11,0.2854007875289111,0.2854007875289111
so,W30p0,1,8,0.2842113088888985,0.2842113088888985
so,W20p0,6,15,0.283709786545512,0.283709786545512
so,W20p0,7,19,-0.2823451177451595,0.2823451177451595
so,W10p0,10,0,-0.2799058997227452,0.2799058997227452
so,W40p0,9,2,-0.2790764382027006,0.2790764382027006
so,W20p0,3,4,0.2756049064159973,0.2756049064159973
so,W10p0,3,12,0.2746691318299105,0.2746691318299105
thetao,W30p0,9,2,-0.2745263236842876,0.2745263236842876
thetao,W40p0,2,3,-0.27431245926589065,0.27431245926589065
so,W20p0,6,17,0.2738839164995301,0.2738839164995301
so,W20p0,5,14,0.273036149005913,0.273036149005913
thetao,W60p0,1,17,-0.2727370723096957,0.2727370723096957
so,W40p0,3,13,0.2723749807400786,0.2723749807400786
thetao,W60p0,3,6,0.2723657185345381,0.2723657185345381
thetao,W40p0,10,1,0.27235529600143005,0.27235529600143005
thetao,W30p0,8,3,-0.27196345853590964,0.27196345853590964
so,W10p0,8,12,0.27127157647964045,0.27127157647964045
thetao,W40p0,9,12,-0.2710427962916957,0.2710427962916957
so,W20p0,7,16,-0.27064454705141183,0.27064454705141183
so,W40p0,9,1,-0.27056770697913446,0.27056770697913446
so,W10p0,4,10,0.2696440532744413,0.2696440532744413
thetao,W20p0,6,19,-0.2695454582445998,0.2695454582445998
so,W40p0,7,8,0.26850042991794176,0.26850042991794176
so,W40p0,6,9,0.2683674359490013,0.2683674359490013
so,W40p0,7,5,0.26800232014869785,0.26800232014869785
thetao,W40p0,2,0,-0.2670040019744829,0.2670040019744829
so,W30p0,4,7,-0.2665097542801962,0.2665097542801962
so,W60p0,10,10,-0.26639798864651626,0.26639798864651626
thetao,W30p0,10,7,0.2662424048246404,0.2662424048246404
so,W40p0,7,6,0.26610913458902685,0.26610913458902685
thetao,W30p0,4,0,0.26597584805956725,0.26597584805956725
