n,delta_r2,post_r2,var,lon_tag,mode,lag
2,0.3402599570341802,0.34416412565560595,thetao,W40p0,2,2
4,0.2957834094037791,0.639553984755711,so,W60p0,2,0
6,0.042988562983685585,0.7153130242478234,thetao,W40p0,2,1
9,0.03333776470846894,0.7647239240768018,so,W20p0,7,18
13,0.032866331271142024,0.8202223340613258,thetao,W20p0,5,17
5,0.032770476508426793,0.6723244612641378,thetao,W20p0,3,2
10,0.022498342559355677,0.7872222666361575,so,W40p0,1,0
17,0.020692134654915484,0.8587847631117467,so,W40p0,5,2
21,0.020649578724538764,0.9115587961844962,thetao,W20p0,3,3
27,0.019845440263331016,0.9518795892016315,thetao,W40p0,6,1
18,0.0166906869858221,0.8754754500975688,thetao,W60p0,3,1
8,0.01560197758117754,0.7313861593683328,so,W60p0,2,1
15,0.014374196394061789,0.8352048578202425,thetao,W30p0,9,1
35,0.011006792689066236,0.9698148672185475,so,W60p0,4,1
24,0.010543501869537009,0.9312340426397575,so,W40p0,6,11
