n,delta_r2,post_r2,var,mode,lag
4,0.1909367386721179,0.686787066292144,thetao,1,20
6,0.1721290957584285,0.8582378407449891,thetao,1,15
9,0.019974957139980876,0.8840052158319543,thetao,1,14
3,0.01921382660613491,0.4958503276200261,so,1,3
2,0.017416365935384537,0.4766365010138912,so,1,2
10,0.016321604695443193,0.9003268205273975,thetao,1,16
24,0.015526655139389889,0.9653289927439284,so,1,6
20,0.014801700811480245,0.9419885793324625,so,2,19
