Top curve-selected candidate steps (mapped to ranked features)
MODEL=IPSL-CM6A-LR  TARGET=AMOC_45N_member  MODE=member  RUN=r10i1p1f1
curve_file=/data/users/frekle/Final_figures/IPSL-CM6A-LR/AMOC_45N_member/Feature_selection/r10i1p1f1/spike_curve_post.csv
candidate_method=all  topK=10  score_col=None

n=  1  curve_r2=0.3620  feature=thetao W40p0 EOF3 lag0
n=  2  curve_r2=0.3732  feature=so W60p0 EOF1 lag1
n=  3  curve_r2=0.5505  feature=so W30p0 EOF1 lag4
n=  4  curve_r2=0.5807  feature=so W60p0 EOF1 lag0
n=  5  curve_r2=0.6351  feature=so W60p0 EOF1 lag2
n=  6  curve_r2=0.6845  feature=thetao W30p0 EOF4 lag0
n=  7  curve_r2=0.6848  feature=so W10p0 EOF4 lag1
n=  8  curve_r2=0.6867  feature=thetao W10p0 EOF9 lag16
n=  9  curve_r2=0.7169  feature=thetao W60p0 EOF2 lag0
n= 10  curve_r2=0.7297  feature=so W30p0 EOF1 lag3
