k,r2_train,corr_train,r2_test,corr_test,subset_idx,subset_features,candidate_source,candidate_method,selected_by,amoc_variant,amoc_var_used,run_label,mode,model,target,select_on,min_lag,max_lag,source_dir
1,0.5313854963587891,0.7289813507475693,-0.4478941526623103,-0.2875187088696827,1,thetao W30p0 EOF4 lag4,spike_curve_post.csv,all,train,normal,AMOC_45N_member,Not_detrended,member,IPSL-CM6A-LR,AMOC_45N_member,train,4,,/data/users/frekle/Final_figures/IPSL-CM6A-LR/AMOC_45N_member/Feature_selection/r9i1p1f1/Not_detrended/Selected_on_train/amoc_variant_normal/lag_policy_4minlag_Nonemax
2,0.5986011410074592,0.773701933803461,-0.6518077249094507,-0.2209277142414701,"1,18",thetao W30p0 EOF4 lag4 | so W40p0 EOF1 lag5,spike_curve_post.csv,all,train,normal,AMOC_45N_member,Not_detrended,member,IPSL-CM6A-LR,AMOC_45N_member,train,4,,/data/users/frekle/Final_figures/IPSL-CM6A-LR/AMOC_45N_member/Feature_selection/r9i1p1f1/Not_detrended/Selected_on_train/amoc_variant_normal/lag_policy_4minlag_Nonemax
3,0.6330883036699446,0.7956735082957013,-0.3635523878222522,0.0755925452233095,"1,2,27",thetao W30p0 EOF4 lag4 | so W30p0 EOF1 lag4 | thetao W30p0 EOF1 lag16,spike_curve_post.csv,all,train,normal,AMOC_45N_member,Not_detrended,member,IPSL-CM6A-LR,AMOC_45N_member,train,4,,/data/users/frekle/Final_figures/IPSL-CM6A-LR/AMOC_45N_member/Feature_selection/r9i1p1f1/Not_detrended/Selected_on_train/amoc_variant_normal/lag_policy_4minlag_Nonemax
