n,delta_r2,post_r2,var,lon_tag,mode,lag
11,0.13725898804496506,0.546633905149231,thetao,W60p0,9,1
18,0.11266201623404193,0.7115286603101887,thetao,W30p0,6,11
2,0.07465955826652693,0.1598607884578318,so,W10p0,2,2
10,0.06068163956282424,0.409374917104266,so,W30p0,3,19
6,0.060639400402243804,0.298476046228467,so,W10p0,6,20
5,0.04252165152428222,0.23783664582622321,thetao,W30p0,6,10
13,0.031706701589223285,0.5822578154718825,so,W30p0,5,12
19,0.03159323549685911,0.7431218958070478,thetao,W30p0,2,18
3,0.0265224200820936,0.1863832085399254,so,W30p0,3,20
27,0.025426943395783774,0.8326194944989475,thetao,W40p0,9,1
7,0.02352557335417782,0.32200161958264484,thetao,W20p0,10,15
23,0.023454450797902426,0.7920543513990067,so,W60p0,3,6
8,0.023127777425279494,0.34512939700792433,thetao,W30p0,9,16
22,0.021243476296317065,0.7685999006011043,thetao,W40p0,2,5
40,0.017793459332523298,0.9008603952796738,thetao,W60p0,7,9
14,0.01421780731424438,0.5964756227861269,thetao,W20p0,10,16
26,0.013705351892705275,0.8071925511031637,so,W30p0,7,0
49,0.012635296244985272,0.935657492907226,thetao,W40p0,2,1
29,0.012433268157294397,0.8466610288539215,thetao,W40p0,2,2
33,0.010320217175285307,0.8576064835993088,thetao,W60p0,9,2
