var,lon_tag,mode,lag,corr,abs_corr
so,W10p0,1,4,-0.6449541843275953,0.6449541843275953
so,W10p0,1,3,-0.6393660145674839,0.6393660145674839
so,W10p0,1,2,-0.6043421563576213,0.6043421563576213
so,W10p0,1,5,-0.5973156190969952,0.5973156190969952
so,W60p0,1,0,0.5894620590677234,0.5894620590677234
thetao,W20p0,1,0,0.5854985851225881,0.5854985851225881
thetao,W20p0,1,1,0.582575903851862,0.582575903851862
so,W60p0,1,1,0.5668091686254719,0.5668091686254719
thetao,W10p0,4,4,0.5626493394846306,0.5626493394846306
so,W40p0,2,2,-0.5582139903832875,0.5582139903832875
thetao,W10p0,4,5,0.5506531506216524,0.5506531506216524
so,W10p0,2,0,-0.5501513346242047,0.5501513346242047
so,W20p0,1,7,-0.5446964573405352,0.5446964573405352
so,W10p0,1,1,-0.537870812329626,0.537870812329626
so,W40p0,2,3,-0.5363908270521075,0.5363908270521075
thetao,W10p0,4,3,0.5332164051127826,0.5332164051127826
thetao,W20p0,1,2,0.5275944368512454,0.5275944368512454
thetao,W60p0,10,0,-0.5183084891495167,0.5183084891495167
thetao,W10p0,4,6,0.5092632850566847,0.5092632850566847
so,W40p0,2,1,-0.509258038528395,0.509258038528395
so,W20p0,1,6,-0.5090245891593059,0.5090245891593059
so,W10p0,2,1,-0.4998130006853927,0.4998130006853927
so,W10p0,1,6,-0.49587294477535687,0.49587294477535687
so,W60p0,1,2,0.49008058826352974,0.49008058826352974
thetao,W40p0,9,0,0.4772932509584868,0.4772932509584868
so,W20p0,1,8,-0.47715466357513603,0.47715466357513603
thetao,W10p0,4,7,0.46902316599410193,0.46902316599410193
thetao,W10p0,4,2,0.4653766116753212,0.4653766116753212
so,W30p0,5,2,0.46488612330412,0.46488612330412
thetao,W20p0,1,3,0.46248041880581614,0.46248041880581614
so,W20p0,3,1,0.4620326090044534,0.4620326090044534
so,W10p0,1,0,-0.45529676201974584,0.45529676201974584
so,W20p0,3,0,0.45339953269626243,0.45339953269626243
so,W30p0,5,3,0.4497256950378981,0.4497256950378981
so,W30p0,5,1,0.4449997676909855,0.4449997676909855
thetao,W10p0,1,13,-0.44272125577790533,0.44272125577790533
thetao,W10p0,1,12,-0.43796281784318,0.43796281784318
thetao,W40p0,6,1,0.4327851017982527,0.4327851017982527
thetao,W10p0,4,1,0.4325170121334794,0.4325170121334794
so,W20p0,7,20,0.431174128311302,0.431174128311302
thetao,W20p0,2,3,-0.42635638296648115,0.42635638296648115
